backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,1,1,6.301384,1,9000
OF,reference,CG,none,1,1,4.31586,1,9000
OF,reference,CG,none,1,1,4.377532,1,9000
OF,reference,CG,none,1,1,4.368929,1,9000
OF,reference,CG,none,1,1,4.283401,1,9000
OF,reference,CG,none,1,1,4.279945,1,9000
OF,reference,CG,none,1,1,4.358894,1,9000
OF,reference,CG,none,1,1,4.332577,1,9000
OF,reference,CG,none,1,1,4.271914,1,9000
OF,reference,CG,none,1,1,4.357053,1,9000
OF,reference,CG,none,1,1,4.370322,1,9000
OF,reference,CG,none,1,1,4.250518,1,9000
OF,reference,CG,none,1,1,4.353982,1,9000
OF,reference,CG,none,1,1,4.296346,1,9000
OF,reference,BiCGStab,none,1,1,8.45105,1,9000
OF,reference,BiCGStab,none,1,1,8.435859,1,9000
OF,reference,BiCGStab,none,1,1,8.446532,1,9000
OF,reference,BiCGStab,none,1,1,8.302317,1,9000
OF,reference,BiCGStab,none,1,1,8.426309,1,9000
OF,reference,BiCGStab,none,1,1,8.431288,1,9000
OF,reference,BiCGStab,none,1,1,8.315619,1,9000
OF,reference,BiCGStab,none,1,1,8.454233,1,9000
OF,reference,CG,none,2,1,21.952156,1,9000
OF,reference,CG,none,2,1,22.365692,1,9000
OF,reference,CG,none,2,1,21.995766,1,9000
OF,reference,CG,none,2,1,22.015823,1,9000
OF,reference,CG,none,2,1,22.050389,1,9000
OF,reference,BiCGStab,none,2,1,44.105591,1,9000
OF,reference,BiCGStab,none,2,1,43.942858,1,9000
OF,reference,BiCGStab,none,2,1,44.03024,1,9000
OF,reference,BiCGStab,none,2,1,43.908188,1,9000
OF,reference,BiCGStab,none,2,1,43.990442,1,9000
OF,reference,CG,none,3,1,106.369641,1,9000
OF,reference,CG,none,3,1,108.141294,1,9000
OF,reference,CG,none,3,1,106.982191,1,9000
OF,reference,CG,none,3,1,107.402913,1,9000
OF,reference,CG,none,3,1,107.247103,1,9000
OF,reference,BiCGStab,none,3,1,217.21778,1,9000
OF,reference,BiCGStab,none,3,1,218.507026,1,9000
OF,reference,BiCGStab,none,3,1,218.573684,1,9000
OF,reference,BiCGStab,none,3,1,218.540051,1,9000
OF,reference,BiCGStab,none,3,1,218.642796,1,9000
OF,reference,CG,none,4,1,551.691266,1,9000
OF,reference,CG,none,4,1,550.280456,1,9000
OF,reference,CG,none,4,1,559.329306,1,9000
OF,reference,CG,none,4,1,555.01646,1,9000
OF,reference,CG,none,4,1,550.486791,1,9000
