backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,,1,10.244267,1,8991
GKO,cuda,CG,none,,1,3.416947,1,8991
GKO,cuda,CG,none,,1,3.22836,1,8991
GKO,cuda,CG,none,,1,3.247861,1,8991
GKO,cuda,CG,none,,1,3.218926,1,8991
GKO,cuda,CG,none,,1,3.230632,1,8991
GKO,cuda,CG,none,,1,3.262,1,8991
GKO,cuda,CG,none,,1,3.24786,1,8991
GKO,cuda,CG,none,,1,3.230553,1,8991
GKO,cuda,CG,none,,1,3.379798,1,8991
GKO,cuda,CG,none,,1,3.240002,1,8991
GKO,cuda,CG,none,,1,3.417718,1,8991
GKO,cuda,CG,none,,1,3.282783,1,8991
GKO,cuda,CG,none,,1,3.233132,1,8991
GKO,cuda,CG,none,,1,3.219361,1,8991
GKO,cuda,CG,none,,1,3.247207,1,8991
