backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,1,1,4.463294,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.424111,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.425433,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.426862,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.440235,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.478374,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.442105,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.460036,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.400269,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.431242,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.425533,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.424267,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.41153,1,8991
GKO,cuda,CG,BiCGStab,none,1,1,4.495462,1,8991
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.879929,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.606247,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.797371,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.721168,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.749926,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.810444,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.631452,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.567368,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.74996,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.782175,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,1,1,5.630262,1,4491
GKO,cuda,CG,BiCGStab,none,2,1,21.299916,1,8991
GKO,cuda,CG,BiCGStab,none,2,1,21.568608,1,8991
GKO,cuda,CG,BiCGStab,none,2,1,22.042971,1,8991
GKO,cuda,CG,BiCGStab,none,2,1,21.592903,1,8991
GKO,cuda,CG,BiCGStab,none,2,1,21.482128,1,8991
GKO,cuda,CG,BiCGStab,none,3,1,55.57817,1,8991
GKO,cuda,CG,BiCGStab,none,3,1,54.457229,1,8991
GKO,cuda,CG,BiCGStab,none,3,1,55.138509,1,8991
GKO,cuda,CG,BiCGStab,none,3,1,55.10295,1,8991
GKO,cuda,CG,BiCGStab,none,3,1,54.478683,1,8991
GKO,cuda,BiCGStab,BiCGStab,none,3,1,46.93613,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,3,1,46.576214,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,3,1,45.880373,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,3,1,46.693115,1,4491
GKO,cuda,BiCGStab,BiCGStab,none,3,1,46.035926,1,4491
