backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,BJ,0,1,6.429654,1,1477
GKO,omp,CG,BJ,0,1,1.978364,1,1477
GKO,omp,CG,BJ,0,1,1.966398,1,1477
GKO,omp,CG,BJ,0,1,1.969461,1,1477
GKO,omp,CG,BJ,0,1,1.967316,1,1477
GKO,omp,CG,BJ,0,1,1.971808,1,1477
GKO,omp,CG,BJ,0,1,1.966421,1,1477
GKO,omp,CG,BJ,0,1,1.967605,1,1477
GKO,omp,CG,BJ,0,1,1.967292,1,1477
GKO,omp,CG,BJ,0,1,1.969704,1,1477
GKO,omp,CG,BJ,0,1,1.962741,1,1477
GKO,omp,CG,BJ,0,1,1.965775,1,1477
GKO,omp,CG,BJ,0,1,1.991534,1,1477
GKO,omp,CG,BJ,0,1,1.971601,1,1477
GKO,omp,CG,BJ,0,1,1.964999,1,1477
GKO,omp,CG,BJ,0,1,1.96108,1,1477
GKO,omp,CG,BJ,0,1,1.9654,1,1477
GKO,omp,CG,BJ,0,1,1.973453,1,1477
GKO,omp,CG,BJ,0,1,1.965038,1,1477
GKO,omp,CG,BJ,0,1,1.99662,1,1477
GKO,omp,CG,BJ,0,1,1.961887,1,1477
GKO,omp,CG,BJ,0,1,1.971146,1,1477
GKO,omp,CG,BJ,0,1,1.971132,1,1477
GKO,omp,CG,BJ,0,1,1.964568,1,1477
GKO,omp,CG,BJ,0,1,1.961863,1,1477
GKO,omp,CG,BJ,0,1,1.962259,1,1477
GKO,omp,CG,BJ,0,1,1.967544,1,1477
GKO,omp,CG,BJ,0,1,1.971883,1,1477
GKO,omp,CG,BJ,0,1,1.966594,1,1477
GKO,omp,CG,BJ,0,2,1.306728,1,1477
GKO,omp,CG,BJ,0,2,1.33016,1,1477
GKO,omp,CG,BJ,0,2,1.403008,1,1477
GKO,omp,CG,BJ,0,2,1.315009,1,1477
GKO,omp,CG,BJ,0,2,1.31764,1,1477
GKO,omp,CG,BJ,0,2,1.393065,1,1477
GKO,omp,CG,BJ,0,2,1.310338,1,1477
GKO,omp,CG,BJ,0,2,1.39148,1,1477
GKO,omp,CG,BJ,0,2,1.316487,1,1477
GKO,omp,CG,BJ,0,2,1.388748,1,1477
GKO,omp,CG,BJ,0,2,1.385455,1,1477
GKO,omp,CG,BJ,0,2,1.312347,1,1477
GKO,omp,CG,BJ,0,2,1.310225,1,1477
GKO,omp,CG,BJ,0,2,1.406037,1,1477
GKO,omp,CG,BJ,0,2,1.399241,1,1477
GKO,omp,CG,BJ,0,2,1.304844,1,1477
GKO,omp,CG,BJ,0,2,1.376776,1,1477
GKO,omp,CG,BJ,0,2,1.31104,1,1477
GKO,omp,CG,BJ,0,2,1.395701,1,1477
GKO,omp,CG,BJ,0,2,1.399125,1,1477
GKO,omp,CG,BJ,0,2,1.410075,1,1477
GKO,omp,CG,BJ,0,2,1.373713,1,1477
GKO,omp,CG,BJ,0,2,1.318941,1,1477
GKO,omp,CG,BJ,0,2,1.298658,1,1477
GKO,omp,CG,BJ,0,2,1.314021,1,1477
GKO,omp,CG,BJ,0,2,1.383223,1,1477
GKO,omp,CG,BJ,0,2,1.380031,1,1477
GKO,omp,CG,BJ,0,2,1.397966,1,1477
GKO,omp,CG,BJ,0,2,1.393008,1,1477
GKO,omp,CG,BJ,0,2,1.31861,1,1477
GKO,omp,CG,BJ,0,2,1.390674,1,1477
GKO,omp,CG,BJ,0,2,1.404253,1,1477
GKO,omp,CG,BJ,0,2,1.305641,1,1477
GKO,omp,CG,BJ,0,2,1.384229,1,1477
GKO,omp,CG,BJ,0,2,1.411059,1,1477
GKO,omp,CG,BJ,0,2,1.319506,1,1477
GKO,omp,CG,BJ,0,2,1.392075,1,1477
GKO,omp,CG,BJ,0,2,1.397632,1,1477
GKO,omp,CG,BJ,0,2,1.303702,1,1477
GKO,omp,CG,BJ,0,2,1.389709,1,1477
GKO,omp,CG,BJ,0,2,1.40163,1,1477
GKO,omp,CG,BJ,0,2,1.392212,1,1477
GKO,omp,CG,BJ,0,2,1.405997,1,1477
GKO,omp,CG,BJ,0,2,1.408112,1,1477
