backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,none,0,1,9.572457,1,3996
GKO,omp,CG,none,0,1,1.938766,1,3996
GKO,omp,CG,none,0,1,1.879199,1,3996
GKO,omp,CG,none,0,1,1.841434,1,3996
GKO,omp,CG,none,0,1,1.849165,1,3996
GKO,omp,CG,none,0,1,1.845544,1,3996
GKO,omp,CG,none,0,1,1.850333,1,3996
GKO,omp,CG,none,0,1,1.878148,1,3996
GKO,omp,CG,none,0,1,1.836209,1,3996
GKO,omp,CG,none,0,1,1.83151,1,3996
GKO,omp,CG,none,0,1,1.872215,1,3996
GKO,omp,CG,none,0,1,1.847924,1,3996
GKO,omp,CG,none,0,1,1.849898,1,3996
GKO,omp,CG,none,0,1,1.850522,1,3996
GKO,omp,CG,none,0,1,1.853916,1,3996
GKO,omp,CG,none,0,1,1.860701,1,3996
GKO,omp,CG,none,0,1,1.827906,1,3996
GKO,omp,CG,none,0,1,1.86984,1,3996
GKO,omp,CG,none,0,1,1.835336,1,3996
GKO,omp,CG,none,0,1,1.830657,1,3996
GKO,omp,CG,none,0,1,1.849182,1,3996
GKO,omp,CG,none,0,1,1.861485,1,3996
GKO,omp,CG,none,0,1,1.841899,1,3996
GKO,omp,CG,none,0,1,1.851774,1,3996
GKO,omp,CG,none,0,1,1.864361,1,3996
GKO,omp,CG,none,0,1,1.838756,1,3996
GKO,omp,CG,none,0,1,1.858484,1,3996
GKO,omp,CG,none,0,1,1.849863,1,3996
GKO,omp,CG,none,0,1,1.83569,1,3996
GKO,omp,CG,none,0,2,1.632692,1,3996
GKO,omp,CG,none,0,2,1.430716,1,3996
GKO,omp,CG,none,0,2,1.647169,1,3996
GKO,omp,CG,none,0,2,1.593307,1,3996
GKO,omp,CG,none,0,2,1.674762,1,3996
GKO,omp,CG,none,0,2,1.546549,1,3996
GKO,omp,CG,none,0,2,1.622153,1,3996
GKO,omp,CG,none,0,2,1.660022,1,3996
GKO,omp,CG,none,0,2,1.601862,1,3996
GKO,omp,CG,none,0,2,1.438158,1,3996
GKO,omp,CG,none,0,2,1.608871,1,3996
GKO,omp,CG,none,0,2,1.613722,1,3996
GKO,omp,CG,none,0,2,1.616399,1,3996
GKO,omp,CG,none,0,2,1.610513,1,3996
GKO,omp,CG,none,0,2,1.646812,1,3996
GKO,omp,CG,none,0,2,1.596842,1,3996
GKO,omp,CG,none,0,2,1.609839,1,3996
GKO,omp,CG,none,0,2,1.609086,1,3996
GKO,omp,CG,none,0,2,1.575945,1,3996
GKO,omp,CG,none,0,2,1.466416,1,3996
GKO,omp,CG,none,0,2,1.576435,1,3996
GKO,omp,CG,none,0,2,1.455926,1,3996
GKO,omp,CG,none,0,2,1.609626,1,3996
GKO,omp,CG,none,0,2,1.690092,1,3996
GKO,omp,CG,none,0,2,1.66066,1,3996
GKO,omp,CG,none,0,2,1.426754,1,3996
GKO,omp,CG,none,0,2,1.438409,1,3996
GKO,omp,CG,none,0,2,1.649271,1,3996
GKO,omp,CG,none,0,2,1.629855,1,3996
GKO,omp,CG,none,0,2,1.412352,1,3996
GKO,omp,CG,none,0,2,1.410663,1,3996
GKO,omp,CG,none,0,2,1.609259,1,3996
GKO,omp,CG,none,0,2,1.584423,1,3996
GKO,omp,CG,none,0,2,1.613747,1,3996
GKO,omp,CG,none,0,2,1.646034,1,3996
GKO,omp,CG,none,0,2,1.667254,1,3996
GKO,omp,CG,none,0,2,1.63794,1,3996
GKO,omp,CG,none,0,2,1.603525,1,3996
GKO,omp,CG,none,0,4,1.340136,1,3996
GKO,omp,CG,none,0,4,1.309544,1,3996
GKO,omp,CG,none,0,4,1.310366,1,3996
GKO,omp,CG,none,0,4,1.328238,1,3996
GKO,omp,CG,none,0,4,1.319629,1,3996
GKO,omp,CG,none,0,4,1.310443,1,3996
GKO,omp,CG,none,0,4,1.326035,1,3996
GKO,omp,CG,none,0,4,1.320376,1,3996
GKO,omp,CG,none,0,4,1.331619,1,3996
