backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,DIC,0,1,8.220203,1,367
OF,reference,CG,DIC,0,1,0.363889,1,367
OF,reference,CG,DIC,0,1,0.34695,1,367
OF,reference,CG,DIC,0,1,0.3459,1,367
OF,reference,CG,DIC,0,1,0.345938,1,367
OF,reference,CG,DIC,0,1,0.347454,1,367
OF,reference,CG,DIC,0,1,0.342607,1,367
OF,reference,CG,DIC,0,1,0.346353,1,367
OF,reference,CG,DIC,0,1,0.343593,1,367
OF,reference,CG,DIC,0,1,0.348434,1,367
OF,reference,CG,DIC,0,1,0.363587,1,367
OF,reference,CG,DIC,0,1,0.361625,1,367
OF,reference,CG,DIC,0,1,0.357569,1,367
OF,reference,CG,DIC,0,1,0.341736,1,367
OF,reference,CG,DIC,0,1,0.339912,1,367
OF,reference,CG,DIC,0,1,0.340663,1,367
OF,reference,CG,DIC,0,1,0.340521,1,367
OF,reference,CG,DIC,0,1,0.343399,1,367
OF,reference,CG,DIC,0,1,0.340212,1,367
OF,reference,CG,DIC,0,1,0.358007,1,367
OF,reference,CG,DIC,0,1,0.367737,1,367
OF,reference,CG,DIC,0,1,0.358875,1,367
OF,reference,CG,DIC,0,1,0.350881,1,367
OF,reference,CG,DIC,0,1,0.342724,1,367
OF,reference,CG,DIC,0,1,0.341184,1,367
OF,reference,CG,DIC,0,1,0.341351,1,367
OF,reference,CG,DIC,0,1,0.340668,1,367
OF,reference,CG,DIC,0,1,0.342527,1,367
OF,reference,CG,DIC,0,1,0.342263,1,367
OF,reference,CG,DIC,0,1,0.341058,1,367
OF,reference,CG,DIC,0,1,0.342412,1,367
OF,reference,CG,DIC,0,1,0.340911,1,367
OF,reference,CG,DIC,0,1,0.338326,1,367
OF,reference,CG,DIC,0,1,0.338268,1,367
OF,reference,CG,DIC,0,1,0.342328,1,367
OF,reference,CG,DIC,0,1,0.343263,1,367
OF,reference,CG,DIC,0,1,0.339846,1,367
OF,reference,CG,DIC,0,1,0.341732,1,367
OF,reference,CG,DIC,0,1,0.342644,1,367
OF,reference,CG,DIC,0,1,0.340015,1,367
OF,reference,CG,DIC,0,1,0.340318,1,367
OF,reference,CG,DIC,0,1,0.342152,1,367
OF,reference,CG,DIC,0,1,0.361041,1,367
OF,reference,CG,DIC,0,1,0.358189,1,367
OF,reference,CG,DIC,0,1,0.352585,1,367
OF,reference,CG,DIC,0,1,0.337055,1,367
OF,reference,CG,DIC,0,1,0.341216,1,367
OF,reference,CG,DIC,0,1,0.344222,1,367
OF,reference,CG,DIC,0,1,0.338737,1,367
