backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,0,1,8.922168,1,4000
OF,reference,CG,none,0,1,0.697993,1,4000
OF,reference,CG,none,0,1,0.682025,1,4000
OF,reference,CG,none,0,1,0.664928,1,4000
OF,reference,CG,none,0,1,0.666011,1,4000
OF,reference,CG,none,0,1,0.65734,1,4000
OF,reference,CG,none,0,1,0.660778,1,4000
OF,reference,CG,none,0,1,0.673927,1,4000
OF,reference,CG,none,0,1,0.656427,1,4000
OF,reference,CG,none,0,1,0.66803,1,4000
OF,reference,CG,none,0,1,0.660026,1,4000
OF,reference,CG,none,0,1,0.66033,1,4000
OF,reference,CG,none,0,1,0.668756,1,4000
OF,reference,CG,none,0,1,0.679952,1,4000
OF,reference,CG,none,0,1,0.67594,1,4000
OF,reference,CG,none,0,1,0.666465,1,4000
OF,reference,CG,none,0,1,0.669308,1,4000
OF,reference,CG,none,0,1,0.677404,1,4000
OF,reference,CG,none,0,1,0.671442,1,4000
OF,reference,CG,none,0,1,0.665317,1,4000
OF,reference,CG,none,0,1,0.656929,1,4000
OF,reference,CG,none,0,1,0.674515,1,4000
OF,reference,CG,none,0,1,0.672003,1,4000
OF,reference,CG,none,0,1,0.664109,1,4000
OF,reference,CG,none,0,1,0.670581,1,4000
OF,reference,CG,none,0,1,0.675453,1,4000
OF,reference,CG,none,0,1,0.665185,1,4000
OF,reference,CG,none,0,1,0.658257,1,4000
OF,reference,CG,none,0,1,0.661832,1,4000
OF,reference,CG,none,0,1,0.663682,1,4000
OF,reference,CG,none,0,1,0.659871,1,4000
OF,reference,CG,none,0,1,0.662961,1,4000
OF,reference,CG,none,0,1,0.65607,1,4000
OF,reference,CG,none,0,1,0.662864,1,4000
OF,reference,CG,none,0,1,0.660755,1,4000
OF,reference,CG,none,0,1,0.664764,1,4000
OF,reference,CG,none,0,1,0.656691,1,4000
OF,reference,CG,none,0,1,0.666864,1,4000
OF,reference,CG,none,0,1,0.661295,1,4000
OF,reference,CG,none,0,1,0.664382,1,4000
OF,reference,CG,none,0,1,0.663736,1,4000
OF,reference,CG,none,0,1,0.665449,1,4000
OF,reference,CG,none,0,1,0.675148,1,4000
OF,reference,CG,none,0,1,0.668095,1,4000
OF,reference,CG,none,0,1,0.665864,1,4000
OF,reference,CG,none,0,1,0.671268,1,4000
OF,reference,CG,none,0,1,0.673176,1,4000
OF,reference,CG,none,0,1,0.66025,1,4000
OF,reference,CG,none,0,1,0.668856,1,4000
OF,reference,CG,none,0,1,0.677425,1,4000
OF,reference,CG,none,0,1,0.67004,1,4000
OF,reference,CG,none,0,1,0.661057,1,4000
OF,reference,CG,none,0,1,0.656949,1,4000
OF,reference,CG,none,0,1,0.670915,1,4000
OF,reference,CG,none,0,1,0.668947,1,4000
OF,reference,CG,none,0,1,0.66364,1,4000
OF,reference,CG,none,0,1,0.674672,1,4000
OF,reference,CG,none,0,1,0.673882,1,4000
OF,reference,CG,none,0,1,0.664552,1,4000
OF,reference,CG,none,0,1,0.664646,1,4000
OF,reference,CG,none,0,1,0.662679,1,4000
OF,reference,CG,none,0,1,0.660458,1,4000
OF,reference,CG,none,0,1,0.665689,1,4000
OF,reference,CG,none,0,1,0.665408,1,4000
OF,reference,CG,none,0,1,0.660395,1,4000
OF,reference,CG,none,0,1,0.663823,1,4000
OF,reference,CG,none,0,1,0.662261,1,4000
OF,reference,CG,none,0,1,0.66005,1,4000
OF,reference,CG,none,0,1,0.665352,1,4000
OF,reference,CG,none,0,1,0.66523,1,4000
OF,reference,CG,none,0,1,0.665146,1,4000
OF,reference,CG,none,0,1,0.660826,1,4000
OF,reference,CG,none,0,1,0.670083,1,4000
OF,reference,CG,none,0,1,0.67447,1,4000
OF,reference,CG,none,0,1,0.667962,1,4000
OF,reference,CG,none,0,1,0.665276,1,4000
OF,reference,CG,none,0,1,0.677195,1,4000
OF,reference,CG,none,0,1,0.669541,1,4000
OF,reference,BiCGStab,none,0,1,1.077263,1,4000
OF,reference,BiCGStab,none,0,1,1.087544,1,4000
OF,reference,BiCGStab,none,0,1,1.075398,1,4000
OF,reference,BiCGStab,none,0,1,1.078811,1,4000
OF,reference,BiCGStab,none,0,1,1.087972,1,4000
OF,reference,BiCGStab,none,0,1,1.079766,1,4000
OF,reference,BiCGStab,none,0,1,1.07326,1,4000
OF,reference,BiCGStab,none,0,1,1.080325,1,4000
OF,reference,BiCGStab,none,0,1,1.073829,1,4000
OF,reference,BiCGStab,none,0,1,1.078517,1,4000
OF,reference,BiCGStab,none,0,1,1.066821,1,4000
OF,reference,BiCGStab,none,0,1,1.067742,1,4000
OF,reference,BiCGStab,none,0,1,1.079522,1,4000
OF,reference,BiCGStab,none,0,1,1.06959,1,4000
OF,reference,BiCGStab,none,0,1,1.072328,1,4000
OF,reference,BiCGStab,none,0,1,1.07452,1,4000
OF,reference,BiCGStab,none,0,1,1.074097,1,4000
OF,reference,BiCGStab,none,0,1,1.068364,1,4000
OF,reference,BiCGStab,none,0,1,1.070057,1,4000
OF,reference,BiCGStab,none,0,1,1.067234,1,4000
OF,reference,BiCGStab,none,0,1,1.076015,1,4000
OF,reference,BiCGStab,none,0,1,1.079682,1,4000
OF,reference,BiCGStab,none,0,1,1.072136,1,4000
OF,reference,BiCGStab,none,0,1,1.072868,1,4000
OF,reference,BiCGStab,none,0,1,1.083968,1,4000
OF,reference,BiCGStab,none,0,1,1.089375,1,4000
OF,reference,BiCGStab,none,0,1,1.070805,1,4000
OF,reference,BiCGStab,none,0,1,1.077064,1,4000
OF,reference,BiCGStab,none,0,1,1.082141,1,4000
OF,reference,BiCGStab,none,0,1,1.078899,1,4000
OF,reference,BiCGStab,none,0,1,1.070663,1,4000
OF,reference,BiCGStab,none,0,1,1.070269,1,4000
OF,reference,BiCGStab,none,0,1,1.092147,1,4000
OF,reference,BiCGStab,none,0,1,1.076968,1,4000
OF,reference,BiCGStab,none,0,1,1.077609,1,4000
OF,reference,BiCGStab,none,0,1,1.083196,1,4000
OF,reference,BiCGStab,none,0,1,1.079889,1,4000
OF,reference,BiCGStab,none,0,1,1.074728,1,4000
OF,reference,BiCGStab,none,0,1,1.068955,1,4000
OF,reference,BiCGStab,none,0,1,1.077422,1,4000
OF,reference,BiCGStab,none,0,1,1.072825,1,4000
OF,reference,BiCGStab,none,0,1,1.068712,1,4000
OF,reference,BiCGStab,none,0,1,1.079814,1,4000
OF,reference,BiCGStab,none,0,1,1.074907,1,4000
OF,reference,BiCGStab,none,0,1,1.07451,1,4000
OF,reference,BiCGStab,none,0,1,1.071979,1,4000
OF,reference,BiCGStab,none,0,1,1.073617,1,4000
OF,reference,BiCGStab,none,0,1,1.080733,1,4000
OF,reference,BiCGStab,none,0,1,1.065966,1,4000
OF,reference,BiCGStab,none,0,1,1.07429,1,4000
OF,reference,BiCGStab,none,0,1,1.084317,1,4000
OF,reference,BiCGStab,none,0,1,1.074498,1,4000
OF,reference,BiCGStab,none,0,1,1.076792,1,4000
OF,reference,BiCGStab,none,0,1,1.088785,1,4000
OF,reference,BiCGStab,none,0,1,1.080118,1,4000
OF,reference,BiCGStab,none,0,1,1.071328,1,4000
OF,reference,CG,none,1,1,2.421981,1,4000
OF,reference,CG,none,1,1,2.424266,1,4000
OF,reference,CG,none,1,1,2.388939,1,4000
OF,reference,CG,none,1,1,2.387641,1,4000
OF,reference,CG,none,1,1,2.381711,1,4000
OF,reference,CG,none,1,1,2.436405,1,4000
OF,reference,CG,none,1,1,2.419046,1,4000
OF,reference,CG,none,1,1,2.389151,1,4000
OF,reference,CG,none,1,1,2.431754,1,4000
OF,reference,CG,none,1,1,2.415687,1,4000
OF,reference,CG,none,1,1,2.43185,1,4000
OF,reference,CG,none,1,1,2.413166,1,4000
OF,reference,CG,none,1,1,2.412169,1,4000
OF,reference,CG,none,1,1,2.421981,1,4000
OF,reference,CG,none,1,1,2.370777,1,4000
OF,reference,CG,none,1,1,2.490727,1,4000
OF,reference,CG,none,1,1,2.386658,1,4000
OF,reference,CG,none,1,1,2.429069,1,4000
OF,reference,CG,none,1,1,2.437603,1,4000
OF,reference,CG,none,1,1,2.431344,1,4000
OF,reference,CG,none,1,1,2.395633,1,4000
OF,reference,CG,none,1,1,2.396267,1,4000
OF,reference,CG,none,1,1,2.425532,1,4000
OF,reference,CG,none,1,1,2.394302,1,4000
OF,reference,CG,none,1,1,2.399626,1,4000
OF,reference,BiCGStab,none,1,1,4.436068,1,4000
OF,reference,BiCGStab,none,1,1,4.445875,1,4000
OF,reference,BiCGStab,none,1,1,4.422798,1,4000
OF,reference,BiCGStab,none,1,1,4.464482,1,4000
OF,reference,BiCGStab,none,1,1,4.404335,1,4000
OF,reference,BiCGStab,none,1,1,4.459287,1,4000
OF,reference,BiCGStab,none,1,1,4.445399,1,4000
OF,reference,BiCGStab,none,1,1,4.474382,1,4000
OF,reference,BiCGStab,none,1,1,4.42556,1,4000
OF,reference,BiCGStab,none,1,1,4.442873,1,4000
OF,reference,BiCGStab,none,1,1,4.422936,1,4000
OF,reference,BiCGStab,none,1,1,4.420891,1,4000
OF,reference,BiCGStab,none,1,1,4.434022,1,4000
OF,reference,BiCGStab,none,1,1,4.439748,1,4000
OF,reference,CG,none,2,1,11.501875,1,4000
OF,reference,CG,none,2,1,11.390528,1,4000
OF,reference,CG,none,2,1,11.487238,1,4000
OF,reference,CG,none,2,1,11.353288,1,4000
OF,reference,CG,none,2,1,11.637047,1,4000
OF,reference,CG,none,2,1,11.491811,1,4000
OF,reference,BiCGStab,none,2,1,21.887812,1,4000
OF,reference,BiCGStab,none,2,1,22.047675,1,4000
OF,reference,BiCGStab,none,2,1,22.093393,1,4000
OF,reference,BiCGStab,none,2,1,21.894119,1,4000
OF,reference,BiCGStab,none,2,1,21.872354,1,4000
OF,reference,CG,none,3,1,56.425059,1,4000
OF,reference,CG,none,3,1,57.299415,1,4000
OF,reference,CG,none,3,1,56.284686,1,4000
OF,reference,CG,none,3,1,55.966989,1,4000
OF,reference,CG,none,3,1,56.108425,1,4000
OF,reference,BiCGStab,none,3,1,112.762658,1,4000
OF,reference,BiCGStab,none,3,1,111.68026,1,4000
OF,reference,BiCGStab,none,3,1,111.556142,1,4000
OF,reference,BiCGStab,none,3,1,111.245036,1,4000
OF,reference,BiCGStab,none,3,1,113.572615,1,4000
