backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,BiCGStab,none,0,2,2.724284,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.1737,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.256765,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.273841,1,6125
GKO,omp,CG,BiCGStab,none,0,2,2.678299,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.220736,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.185741,1,6125
GKO,omp,CG,BiCGStab,none,0,2,2.681146,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.199887,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.233972,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.211753,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.174409,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.219376,1,6125
GKO,omp,CG,BiCGStab,none,0,2,2.694092,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.236446,1,6125
GKO,omp,CG,BiCGStab,none,0,2,2.727367,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.203597,1,6125
GKO,omp,CG,BiCGStab,none,0,2,3.201716,1,6125
GKO,omp,CG,BiCGStab,none,0,2,2.667812,1,6125
GKO,omp,CG,BiCGStab,none,0,2,2.68913,1,6125
GKO,omp,CG,BiCGStab,none,0,4,2.590986,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.57715,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.576845,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.577885,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.581388,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.569626,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.552312,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.580643,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.582949,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.584367,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.595543,1,6124
GKO,omp,CG,BiCGStab,none,0,4,2.580763,1,6124
