backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,BiCGStab,none,0,1,9.344472,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.861778,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.846891,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.843727,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.847614,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.842217,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.84595,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.853306,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.845362,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.846016,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.845082,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.846749,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.844834,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.847488,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.84118,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.862733,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.86508,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.854226,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.846571,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.843962,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.845795,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.856265,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.868813,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.862356,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.854629,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.839604,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.839559,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.856733,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.861108,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.849751,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.839677,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.839437,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.85785,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.836919,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.790637,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.90287,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.843027,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.838029,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.842814,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.83929,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.837904,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.840099,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.843732,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.847092,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.859407,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.861338,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.853845,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.845882,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.83659,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.860656,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.855005,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.854679,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.834517,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.842139,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.846594,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.837343,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.859044,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.858062,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.851986,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.839361,1,4987
OF,reference,CG,BiCGStab,none,0,1,0.842754,1,4987
OF,reference,BiCGStab,BiCGStab,none,0,1,1.255281,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.250606,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.244222,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.25005,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.251138,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.253431,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.25235,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.247002,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.265302,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.265238,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.261388,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.252356,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.253151,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.261733,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.272671,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.264402,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.256211,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.255894,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.255123,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.262434,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.260198,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.25775,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.253276,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.253084,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.251976,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.245765,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.267164,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.272014,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.253807,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.257494,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.254112,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.249906,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.249097,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.242561,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.24885,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.260004,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.246117,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.254803,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.262159,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.26824,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.263018,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.256571,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.257787,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.249111,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.26236,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.275183,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.264327,1,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,1.260895,1,4990
OF,reference,CG,BiCGStab,none,1,1,3.295828,1,4956
OF,reference,CG,BiCGStab,none,1,1,3.316106,1,4956
OF,reference,CG,BiCGStab,none,1,1,3.301601,1,4956
OF,reference,CG,BiCGStab,none,1,1,3.345872,1,4956
OF,reference,CG,BiCGStab,none,1,1,3.328755,1,4956
OF,reference,CG,BiCGStab,none,1,1,3.387517,1,4956
OF,reference,CG,BiCGStab,none,1,1,3.352203,1,4956
OF,reference,CG,BiCGStab,none,1,1,3.352013,1,4956
