backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,0,1,4.230769,1,3996
GKO,cuda,CG,none,0,1,1.908969,1,3996
GKO,cuda,CG,none,0,1,1.909817,1,3996
GKO,cuda,CG,none,0,1,2.008489,1,3996
GKO,cuda,CG,none,0,1,2.008322,1,3996
GKO,cuda,CG,none,0,1,2.01008,1,3996
GKO,cuda,CG,none,0,1,2.000017,1,3996
GKO,cuda,CG,none,0,1,1.97297,1,3996
GKO,cuda,CG,none,0,1,2.02183,1,3996
GKO,cuda,CG,none,0,1,2.002485,1,3996
GKO,cuda,CG,none,0,1,1.994841,1,3996
GKO,cuda,CG,none,0,1,1.990531,1,3996
GKO,cuda,CG,none,0,1,1.996141,1,3996
GKO,cuda,CG,none,0,1,1.994047,1,3996
GKO,cuda,CG,none,0,1,1.909252,1,3996
GKO,cuda,CG,none,0,1,1.913596,1,3996
GKO,cuda,CG,none,0,1,2.015727,1,3996
GKO,cuda,CG,none,0,1,2.007096,1,3996
GKO,cuda,CG,none,0,1,2.00661,1,3996
GKO,cuda,CG,none,0,1,2.004834,1,3996
GKO,cuda,CG,none,0,1,1.998329,1,3996
GKO,cuda,CG,none,0,1,1.992619,1,3996
GKO,cuda,CG,none,0,1,2.003871,1,3996
GKO,cuda,CG,none,0,1,1.999468,1,3996
GKO,cuda,CG,none,0,1,1.997256,1,3996
GKO,cuda,CG,none,0,1,2.001387,1,3996
GKO,cuda,CG,none,0,1,1.906476,1,3996
GKO,cuda,CG,none,0,1,1.905005,1,3996
GKO,cuda,CG,none,0,1,1.899102,1,3996
GKO,cuda,CG,none,0,1,1.898082,1,3996
GKO,cuda,BiCGStab,none,0,1,1.895677,1,1996
GKO,cuda,BiCGStab,none,0,1,2.019812,1,1996
GKO,cuda,BiCGStab,none,0,1,2.002524,1,1996
GKO,cuda,BiCGStab,none,0,1,2.001537,1,1996
GKO,cuda,BiCGStab,none,0,1,1.994261,1,1996
GKO,cuda,BiCGStab,none,0,1,1.999942,1,1996
GKO,cuda,BiCGStab,none,0,1,1.993539,1,1996
GKO,cuda,BiCGStab,none,0,1,2.001131,1,1996
GKO,cuda,BiCGStab,none,0,1,1.996132,1,1996
GKO,cuda,BiCGStab,none,0,1,1.977032,1,1996
GKO,cuda,BiCGStab,none,0,1,1.976638,1,1996
GKO,cuda,BiCGStab,none,0,1,1.972212,1,1996
GKO,cuda,BiCGStab,none,0,1,1.991933,1,1996
GKO,cuda,BiCGStab,none,0,1,1.977688,1,1996
GKO,cuda,BiCGStab,none,0,1,1.902233,1,1996
GKO,cuda,BiCGStab,none,0,1,1.883045,1,1996
GKO,cuda,BiCGStab,none,0,1,1.997758,1,1996
GKO,cuda,BiCGStab,none,0,1,2.003054,1,1996
GKO,cuda,BiCGStab,none,0,1,2.003633,1,1996
GKO,cuda,BiCGStab,none,0,1,2.004288,1,1996
GKO,cuda,BiCGStab,none,0,1,1.987924,1,1996
GKO,cuda,BiCGStab,none,0,1,1.992518,1,1996
GKO,cuda,BiCGStab,none,0,1,1.992374,1,1996
GKO,cuda,BiCGStab,none,0,1,1.99539,1,1996
GKO,cuda,BiCGStab,none,0,1,1.895599,1,1996
GKO,cuda,BiCGStab,none,0,1,1.883696,1,1996
GKO,cuda,BiCGStab,none,0,1,1.890243,1,1996
GKO,cuda,BiCGStab,none,0,1,1.897481,1,1996
GKO,cuda,BiCGStab,none,0,1,1.887016,1,1996
GKO,cuda,BiCGStab,none,0,1,2.008615,1,1996
GKO,cuda,BiCGStab,none,0,1,1.992026,1,1996
GKO,cuda,CG,none,1,1,2.583305,1,3996
GKO,cuda,CG,none,1,1,2.567079,1,3996
GKO,cuda,CG,none,1,1,2.56819,1,3996
GKO,cuda,CG,none,1,1,2.576215,1,3996
GKO,cuda,CG,none,1,1,2.589776,1,3996
GKO,cuda,CG,none,1,1,2.584021,1,3996
GKO,cuda,CG,none,1,1,2.573598,1,3996
GKO,cuda,CG,none,1,1,2.582191,1,3996
GKO,cuda,CG,none,1,1,2.566382,1,3996
GKO,cuda,CG,none,1,1,2.575726,1,3996
GKO,cuda,CG,none,1,1,2.483702,1,3996
GKO,cuda,CG,none,1,1,2.467793,1,3996
GKO,cuda,CG,none,1,1,2.595485,1,3996
GKO,cuda,CG,none,1,1,2.575589,1,3996
GKO,cuda,CG,none,1,1,2.600066,1,3996
GKO,cuda,CG,none,1,1,2.587691,1,3996
GKO,cuda,CG,none,1,1,2.588575,1,3996
GKO,cuda,CG,none,1,1,2.58112,1,3996
