backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,BJ,0,1,1.668773,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.600937,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.604734,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.60845,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.610247,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.600901,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.606154,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.604783,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.600388,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.601768,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.611191,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.612608,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.614454,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.602897,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.596184,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.608874,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.605566,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.594168,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.602775,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.595243,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.621039,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.599934,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.601663,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.602282,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.617897,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.624205,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.614328,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.596094,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.621011,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.608628,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.614636,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.607735,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.603283,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.613384,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.621305,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.602649,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.614551,1,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,1.620829,1,1528
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.737586,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.736534,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.723324,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.739725,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.670153,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.724353,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.720402,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.72857,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.724121,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.724233,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.727838,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.72208,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.734871,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.727259,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.72556,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.743901,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.72852,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.71466,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.718716,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.722298,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.693507,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.732937,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.734514,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.729305,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.72567,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.732766,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.725724,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.721368,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.724413,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.729126,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.737955,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.732782,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.75055,1,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.723426,1,1193
