backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,0,1,8.497303,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,4.628794,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,3.005714,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,3.016456,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,3.012518,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,3.012454,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,3.032858,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,2.9933,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,3.015664,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,3.012877,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,2.994994,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,2.98428,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,2.980473,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,2.996182,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,2.942255,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,2.91667,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,2.89614,1,6109
GKO,cuda,CG,BiCGStab,none,0,1,2.890166,1,6109
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.876501,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.882479,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.967387,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.957716,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,3.005641,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,3.01093,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,3.014512,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.998388,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.868933,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.921017,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.902767,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.978573,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,3.01104,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.967638,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.980515,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,3.014407,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.988104,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.990481,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,2.998032,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,3.007418,1,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,3.016576,1,4140
GKO,cuda,CG,BiCGStab,none,1,1,3.783362,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.82007,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.788077,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.782339,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.766778,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.757895,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.771272,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.764471,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.962701,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.953723,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.939241,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.945097,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.943039,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.77668,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.812712,1,6607
GKO,cuda,CG,BiCGStab,none,1,1,3.797715,1,6607
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.863549,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.877128,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.869823,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.885749,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.876432,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.855262,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.885398,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.880833,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.885657,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.874771,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.887642,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.727797,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.722428,1,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,3.74003,1,4464
GKO,cuda,CG,BiCGStab,none,2,1,13.875616,1,6644
GKO,cuda,CG,BiCGStab,none,2,1,11.972915,1,6644
GKO,cuda,CG,BiCGStab,none,2,1,11.828822,1,6644
GKO,cuda,CG,BiCGStab,none,2,1,11.884235,1,6644
GKO,cuda,CG,BiCGStab,none,2,1,11.152141,1,6644
GKO,cuda,BiCGStab,BiCGStab,none,2,1,10.281632,1,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,10.078553,1,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,10.210928,1,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,10.482333,1,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,10.05287,1,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,10.077012,1,4508
GKO,cuda,CG,BiCGStab,none,3,1,28.103731,1,6169
