backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,none,0,1,0.260102,1.877355,3996
GKO,omp,CG,none,0,1,0.260102,1.858308,3996
GKO,omp,CG,none,0,1,0.260102,1.850157,3996
GKO,omp,CG,none,0,1,0.260102,1.846484,3996
GKO,omp,CG,none,0,1,0.260102,1.861233,3996
GKO,omp,CG,none,0,1,0.260102,1.862455,3996
GKO,omp,CG,none,0,1,0.260102,1.843949,3996
GKO,omp,CG,none,0,1,0.260102,1.841858,3996
GKO,omp,CG,none,0,1,0.260102,1.82285,3996
GKO,omp,CG,none,0,1,0.260102,1.879228,3996
GKO,omp,CG,none,0,1,0.260102,1.890637,3996
GKO,omp,CG,none,0,1,0.260102,1.853965,3996
GKO,omp,CG,none,0,1,0.260102,1.87741,3996
GKO,omp,CG,none,0,1,0.260102,1.84686,3996
GKO,omp,CG,none,0,1,0.260102,1.8571,3996
GKO,omp,CG,none,0,1,0.260102,1.858142,3996
GKO,omp,CG,none,0,1,0.260102,1.853979,3996
GKO,omp,CG,none,0,1,0.260102,1.854327,3996
GKO,omp,CG,none,0,1,0.260102,1.853818,3996
GKO,omp,CG,none,0,1,0.260102,1.860693,3996
GKO,omp,CG,none,0,1,0.260102,1.860985,3996
GKO,omp,CG,none,0,1,0.260102,1.875121,3996
GKO,omp,CG,none,0,1,0.260102,1.867239,3996
GKO,omp,CG,none,0,1,0.260102,1.893733,3996
GKO,omp,CG,none,0,1,0.260102,1.862604,3996
GKO,omp,CG,none,0,1,0.260102,1.85317,3996
GKO,omp,CG,none,0,1,0.260102,1.844308,3996
GKO,omp,CG,none,0,1,0.260102,1.850723,3996
GKO,omp,CG,none,0,1,0.260102,1.843216,3996
GKO,omp,CG,none,0,1,0.260102,1.844974,3996
GKO,omp,CG,none,0,1,0.260102,1.868968,3996
GKO,omp,CG,none,0,1,0.260102,1.851852,3996
GKO,omp,CG,none,0,1,0.260102,1.838836,3996
GKO,omp,CG,none,0,2,0.219975,1.625231,3996
GKO,omp,CG,none,0,2,0.219975,1.40757,3996
GKO,omp,CG,none,0,2,0.219975,1.417746,3996
GKO,omp,CG,none,0,2,0.219975,1.672795,3996
GKO,omp,CG,none,0,2,0.219975,1.642988,3996
GKO,omp,CG,none,0,2,0.219975,1.433437,3996
GKO,omp,CG,none,0,2,0.219975,1.429129,3996
GKO,omp,CG,none,0,2,0.219975,1.681195,3996
GKO,omp,CG,none,0,2,0.219975,1.421288,3996
GKO,omp,CG,none,0,2,0.219975,1.647539,3996
GKO,omp,CG,none,0,2,0.219975,1.430949,3996
GKO,omp,CG,none,0,2,0.219975,1.423653,3996
GKO,omp,CG,none,0,2,0.219975,1.65894,3996
GKO,omp,CG,none,0,2,0.219975,1.616326,3996
GKO,omp,CG,none,0,2,0.219975,1.666643,3996
GKO,omp,CG,none,0,2,0.219975,1.643799,3996
GKO,omp,CG,none,0,2,0.219975,1.657481,3996
GKO,omp,CG,none,0,2,0.219975,1.655118,3996
GKO,omp,CG,none,0,2,0.219975,1.427191,3996
GKO,omp,CG,none,0,2,0.219975,1.428265,3996
GKO,omp,CG,none,0,2,0.219975,1.428248,3996
GKO,omp,CG,none,0,2,0.219975,1.636623,3996
GKO,omp,CG,none,0,2,0.219975,1.578994,3996
GKO,omp,CG,none,0,2,0.219975,1.674102,3996
GKO,omp,CG,none,0,2,0.219975,1.615121,3996
GKO,omp,CG,none,0,2,0.219975,1.422728,3996
GKO,omp,CG,none,0,2,0.219975,1.667854,3996
GKO,omp,CG,none,0,2,0.219975,1.4362,3996
GKO,omp,CG,none,0,2,0.219975,1.42443,3996
GKO,omp,CG,none,0,2,0.219975,1.460609,3996
GKO,omp,CG,none,0,2,0.219975,1.650038,3996
GKO,omp,CG,none,0,2,0.219975,1.58987,3996
GKO,omp,CG,none,0,2,0.219975,1.414758,3996
GKO,omp,CG,none,0,2,0.219975,1.419395,3996
GKO,omp,CG,none,0,2,0.219975,1.63827,3996
GKO,omp,CG,none,0,2,0.219975,1.423378,3996
GKO,omp,CG,none,0,2,0.219975,1.596556,3996
GKO,omp,CG,none,0,2,0.219975,1.69029,3996
GKO,omp,CG,none,0,2,0.219975,1.629516,3996
GKO,omp,CG,none,0,4,0.235363,1.329954,3996
GKO,omp,CG,none,0,4,0.235363,1.30736,3996
GKO,omp,CG,none,0,4,0.235363,1.336414,3996
GKO,omp,CG,none,0,4,0.235363,1.317832,3996
GKO,omp,CG,none,0,4,0.235363,1.264255,3996
GKO,omp,CG,none,0,4,0.235363,1.357626,3996
GKO,omp,CG,none,0,4,0.235363,1.338711,3996
GKO,omp,CG,none,0,4,0.235363,1.317186,3996
GKO,omp,CG,none,0,4,0.235363,1.373263,3996
GKO,omp,CG,none,0,4,0.235363,1.315221,3996
GKO,omp,CG,none,0,4,0.235363,1.308934,3996
GKO,omp,CG,none,0,4,0.235363,1.342798,3996
GKO,omp,CG,none,0,4,0.235363,1.309165,3996
GKO,omp,CG,none,0,4,0.235363,1.349617,3996
GKO,omp,CG,none,0,4,0.235363,1.339176,3996
GKO,omp,CG,none,0,4,0.235363,1.316505,3996
GKO,omp,CG,none,0,4,0.235363,1.320844,3996
GKO,omp,CG,none,0,4,0.235363,1.294973,3996
GKO,omp,CG,none,0,4,0.235363,1.312119,3996
GKO,omp,CG,none,0,4,0.235363,1.322679,3996
GKO,omp,CG,none,0,4,0.235363,1.334233,3996
GKO,omp,CG,none,0,4,0.235363,1.323447,3996
GKO,omp,CG,none,0,4,0.235363,1.295447,3996
GKO,omp,CG,none,0,4,0.235363,1.371475,3996
GKO,omp,CG,none,0,4,0.235363,1.308386,3996
GKO,omp,CG,none,0,4,0.235363,1.361593,3996
GKO,omp,CG,none,0,4,0.235363,1.329281,3996
GKO,omp,CG,none,0,4,0.235363,1.365453,3996
GKO,omp,CG,none,0,4,0.235363,1.316469,3996
GKO,omp,CG,none,0,4,0.235363,1.342006,3996
GKO,omp,CG,none,0,4,0.235363,1.329231,3996
GKO,omp,CG,none,0,4,0.235363,1.349039,3996
GKO,omp,CG,none,0,4,0.235363,1.335874,3996
GKO,omp,CG,none,0,4,0.235363,1.330022,3996
GKO,omp,CG,none,0,4,0.235363,1.375494,3996
GKO,omp,CG,none,0,4,0.235363,1.417699,3996
GKO,omp,CG,none,0,4,0.235363,1.363087,3996
GKO,omp,CG,none,0,4,0.235363,1.334526,3996
GKO,omp,CG,none,0,4,0.235363,1.324337,3996
GKO,omp,CG,none,0,4,0.235363,1.335196,3996
GKO,omp,CG,none,0,4,0.235363,1.312955,3996
GKO,omp,CG,none,0,4,0.235363,1.373869,3996
GKO,omp,CG,none,0,4,0.235363,1.332527,3996
GKO,omp,CG,none,0,4,0.235363,1.310285,3996
GKO,omp,CG,none,0,4,0.235363,1.339332,3996
GKO,omp,CG,none,0,4,0.235363,1.34755,3996
GKO,omp,CG,none,0,8,0.223797,1.184647,3996
GKO,omp,CG,none,0,8,0.223797,1.244456,3996
GKO,omp,CG,none,0,8,0.223797,1.279135,3996
GKO,omp,CG,none,0,8,0.223797,1.245396,3996
GKO,omp,CG,none,0,8,0.223797,1.199835,3996
GKO,omp,CG,none,0,8,0.223797,1.164679,3996
GKO,omp,CG,none,0,8,0.223797,1.247247,3996
GKO,omp,CG,none,0,8,0.223797,1.234931,3996
GKO,omp,CG,none,0,8,0.223797,1.226042,3996
GKO,omp,CG,none,0,8,0.223797,1.241181,3996
GKO,omp,CG,none,0,8,0.223797,1.239443,3996
GKO,omp,CG,none,0,8,0.223797,1.177476,3996
GKO,omp,CG,none,0,8,0.223797,1.205826,3996
GKO,omp,CG,none,0,8,0.223797,1.248409,3996
GKO,omp,CG,none,0,8,0.223797,1.160191,3996
GKO,omp,CG,none,0,8,0.223797,1.285087,3996
GKO,omp,CG,none,0,8,0.223797,1.197782,3996
GKO,omp,CG,none,0,8,0.223797,1.230341,3996
GKO,omp,CG,none,0,8,0.223797,1.192529,3996
GKO,omp,CG,none,0,8,0.223797,1.226589,3996
GKO,omp,CG,none,0,8,0.223797,1.205721,3996
GKO,omp,CG,none,0,8,0.223797,1.23038,3996
GKO,omp,CG,none,0,8,0.223797,1.248714,3996
GKO,omp,CG,none,0,8,0.223797,1.178663,3996
GKO,omp,CG,none,0,8,0.223797,1.276151,3996
GKO,omp,CG,none,0,8,0.223797,1.193333,3996
GKO,omp,CG,none,0,8,0.223797,1.202266,3996
GKO,omp,CG,none,0,8,0.223797,1.205237,3996
GKO,omp,CG,none,0,8,0.223797,1.2465,3996
GKO,omp,CG,none,0,8,0.223797,1.241612,3996
GKO,omp,CG,none,0,8,0.223797,1.290315,3996
GKO,omp,CG,none,0,8,0.223797,1.214996,3996
GKO,omp,CG,none,0,8,0.223797,1.252635,3996
GKO,omp,CG,none,0,8,0.223797,1.184614,3996
GKO,omp,CG,none,0,8,0.223797,1.19346,3996
GKO,omp,CG,none,0,8,0.223797,1.209253,3996
GKO,omp,CG,none,0,8,0.223797,1.268425,3996
GKO,omp,CG,none,0,8,0.223797,1.280409,3996
GKO,omp,CG,none,0,8,0.223797,1.248256,3996
GKO,omp,CG,none,0,8,0.223797,1.301611,3996
GKO,omp,CG,none,0,8,0.223797,1.196181,3996
GKO,omp,CG,none,0,8,0.223797,1.267671,3996
GKO,omp,CG,none,0,8,0.223797,1.22745,3996
GKO,omp,CG,none,0,8,0.223797,1.284516,3996
GKO,omp,CG,none,0,8,0.223797,1.138412,3996
GKO,omp,CG,none,0,8,0.223797,1.26308,3996
GKO,omp,CG,none,0,8,0.223797,1.251594,3996
GKO,omp,CG,none,0,8,0.223797,1.251573,3996
GKO,omp,CG,none,0,8,0.223797,1.248577,3996
GKO,omp,CG,none,0,16,0.234959,1.363651,3996
GKO,omp,CG,none,0,16,0.234959,1.453342,3996
GKO,omp,CG,none,0,16,0.234959,1.290518,3996
GKO,omp,CG,none,0,16,0.234959,1.349493,3996
GKO,omp,CG,none,0,16,0.234959,1.464567,3996
GKO,omp,CG,none,0,16,0.234959,1.392992,3996
GKO,omp,CG,none,0,16,0.234959,1.29451,3996
GKO,omp,CG,none,0,16,0.234959,1.367398,3996
GKO,omp,CG,none,0,16,0.234959,1.4551,3996
GKO,omp,CG,none,0,16,0.234959,1.42076,3996
GKO,omp,CG,none,0,16,0.234959,1.409389,3996
GKO,omp,CG,none,0,16,0.234959,1.420681,3996
GKO,omp,CG,none,0,16,0.234959,1.368571,3996
GKO,omp,CG,none,0,16,0.234959,1.437389,3996
GKO,omp,CG,none,0,16,0.234959,1.300084,3996
GKO,omp,CG,none,0,16,0.234959,1.379958,3996
GKO,omp,CG,none,0,16,0.234959,1.416413,3996
GKO,omp,CG,none,0,16,0.234959,1.481854,3996
GKO,omp,CG,none,0,16,0.234959,1.275594,3996
GKO,omp,CG,none,0,16,0.234959,1.315574,3996
GKO,omp,CG,none,0,16,0.234959,1.440626,3996
GKO,omp,CG,none,0,16,0.234959,1.30807,3996
GKO,omp,CG,none,0,16,0.234959,1.313499,3996
GKO,omp,CG,none,0,16,0.234959,1.405491,3996
GKO,omp,CG,none,0,16,0.234959,1.369368,3996
GKO,omp,CG,none,0,16,0.234959,1.476092,3996
GKO,omp,CG,none,0,16,0.234959,1.422184,3996
GKO,omp,CG,none,0,16,0.234959,1.308715,3996
GKO,omp,CG,none,0,16,0.234959,1.441857,3996
GKO,omp,CG,none,0,16,0.234959,1.280815,3996
GKO,omp,CG,none,0,16,0.234959,1.285121,3996
GKO,omp,CG,none,0,16,0.234959,1.294924,3996
GKO,omp,CG,none,0,16,0.234959,1.305213,3996
