backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,none,0,1,0.252663,0.671388,4000
OF,reference,CG,none,0,1,0.252663,0.672139,4000
OF,reference,CG,none,0,1,0.252663,0.671229,4000
OF,reference,CG,none,0,1,0.252663,0.668168,4000
OF,reference,CG,none,0,1,0.252663,0.671313,4000
OF,reference,CG,none,0,1,0.252663,0.674463,4000
OF,reference,CG,none,0,1,0.252663,0.670851,4000
OF,reference,CG,none,0,1,0.252663,0.667165,4000
OF,reference,CG,none,0,1,0.252663,0.66876,4000
OF,reference,CG,none,0,1,0.252663,0.667618,4000
OF,reference,CG,none,0,1,0.252663,0.666997,4000
OF,reference,CG,none,0,1,0.252663,0.676207,4000
OF,reference,CG,none,0,1,0.252663,0.668599,4000
OF,reference,CG,none,0,1,0.252663,0.669448,4000
OF,reference,CG,none,0,1,0.252663,0.66738,4000
OF,reference,CG,none,0,1,0.252663,0.675297,4000
OF,reference,CG,none,0,1,0.252663,0.671014,4000
OF,reference,CG,none,0,1,0.252663,0.674903,4000
OF,reference,CG,none,0,1,0.252663,0.673383,4000
OF,reference,CG,none,0,1,0.252663,0.676982,4000
OF,reference,CG,none,0,1,0.252663,0.680757,4000
OF,reference,CG,none,0,1,0.252663,0.672966,4000
OF,reference,CG,none,0,1,0.252663,0.676348,4000
OF,reference,CG,none,0,1,0.252663,0.670658,4000
OF,reference,CG,none,0,1,0.252663,0.671014,4000
OF,reference,CG,none,0,1,0.252663,0.677081,4000
OF,reference,CG,none,0,1,0.252663,0.671244,4000
OF,reference,CG,none,0,1,0.252663,0.663924,4000
OF,reference,CG,none,0,1,0.252663,0.665195,4000
OF,reference,CG,none,0,1,0.252663,0.673933,4000
OF,reference,CG,none,0,1,0.252663,0.669674,4000
OF,reference,CG,none,0,1,0.252663,0.669109,4000
OF,reference,CG,none,0,1,0.252663,0.671043,4000
OF,reference,CG,none,0,1,0.252663,0.666016,4000
OF,reference,CG,none,0,1,0.252663,0.667222,4000
OF,reference,CG,none,0,1,0.252663,0.667095,4000
OF,reference,CG,none,0,1,0.252663,0.669382,4000
OF,reference,CG,none,0,1,0.252663,0.676652,4000
OF,reference,CG,none,0,1,0.252663,0.668007,4000
OF,reference,CG,none,0,1,0.252663,0.662942,4000
OF,reference,CG,none,0,1,0.252663,0.665837,4000
OF,reference,CG,none,0,1,0.252663,0.667652,4000
OF,reference,CG,none,0,1,0.252663,0.665095,4000
OF,reference,CG,none,0,1,0.252663,0.675959,4000
OF,reference,CG,none,0,1,0.252663,0.670063,4000
OF,reference,CG,none,0,1,0.252663,0.669794,4000
OF,reference,CG,none,0,1,0.252663,0.670385,4000
OF,reference,CG,none,0,1,0.252663,0.66936,4000
OF,reference,CG,none,0,1,0.252663,0.668466,4000
OF,reference,CG,none,0,1,0.252663,0.673501,4000
OF,reference,CG,none,0,1,0.252663,0.66642,4000
OF,reference,CG,none,0,1,0.252663,0.6773,4000
OF,reference,CG,none,0,1,0.252663,0.665857,4000
OF,reference,CG,none,0,1,0.252663,0.671008,4000
OF,reference,CG,none,0,1,0.252663,0.66851,4000
OF,reference,CG,none,0,1,0.252663,0.66499,4000
OF,reference,CG,none,0,1,0.252663,0.660179,4000
OF,reference,CG,none,0,1,0.252663,0.664645,4000
OF,reference,CG,none,0,1,0.252663,0.673177,4000
OF,reference,CG,none,0,1,0.252663,0.667983,4000
OF,reference,CG,none,0,1,0.252663,0.672967,4000
OF,reference,CG,none,0,1,0.252663,0.671142,4000
OF,reference,CG,none,0,1,0.252663,0.663109,4000
OF,reference,CG,none,0,1,0.252663,0.672177,4000
OF,reference,CG,none,0,1,0.252663,0.668853,4000
OF,reference,CG,none,0,1,0.252663,0.668377,4000
OF,reference,CG,none,0,1,0.252663,0.670957,4000
OF,reference,CG,none,0,1,0.252663,0.665029,4000
OF,reference,CG,none,0,1,0.252663,0.663608,4000
OF,reference,CG,none,0,1,0.252663,0.665555,4000
OF,reference,CG,none,0,1,0.252663,0.668306,4000
OF,reference,CG,none,0,1,0.252663,0.66744,4000
OF,reference,CG,none,0,1,0.252663,0.67224,4000
OF,reference,CG,none,0,1,0.252663,0.669093,4000
OF,reference,CG,none,0,1,0.252663,0.667051,4000
OF,reference,CG,none,0,1,0.252663,0.664773,4000
OF,reference,CG,none,0,1,0.252663,0.66565,4000
OF,reference,CG,none,0,1,0.252663,0.669512,4000
OF,reference,CG,none,0,1,0.252663,0.668813,4000
OF,reference,CG,none,0,1,0.252663,0.668181,4000
OF,reference,CG,none,0,1,0.252663,0.669851,4000
OF,reference,CG,none,0,1,0.252663,0.677305,4000
OF,reference,CG,none,0,1,0.252663,0.666158,4000
OF,reference,CG,none,0,1,0.252663,0.671831,4000
OF,reference,CG,none,0,1,0.252663,0.667844,4000
OF,reference,CG,none,0,1,0.252663,0.66928,4000
OF,reference,CG,none,0,1,0.252663,0.675127,4000
OF,reference,CG,none,0,1,0.252663,0.667986,4000
OF,reference,CG,none,0,1,0.252663,0.662511,4000
OF,reference,CG,none,0,1,0.252663,0.679662,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.064789,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.068733,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.082196,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.078173,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.078282,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.088819,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.074038,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.077598,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.079928,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.074217,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.080316,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.082015,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.080276,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.074082,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.082304,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.077809,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.080029,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.078578,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.084269,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.075884,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.082642,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.087003,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.083468,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.03972,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.130988,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.086819,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.069868,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.07585,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.081825,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.080977,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.085622,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.087407,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.06822,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.082016,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.071451,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.081214,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.088234,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.087555,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.073467,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.082879,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.073859,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.069245,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.076845,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.07725,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.081001,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.077805,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.084871,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.088929,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.087712,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.088166,4000
OF,reference,BiCGStab,none,0,1,0.240801,1.080089,4000
