backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.677579,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.633235,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.590073,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.657198,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.639162,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.639574,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.59734,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.619087,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.629961,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.658881,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.644599,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.648077,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.632334,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.589101,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.627334,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.650197,6125
GKO,omp,CG,BiCGStab,none,0,1,0.257747,3.658543,6125
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.162015,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.265279,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.20797,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.192245,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.203851,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.2251,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.203406,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.18534,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,2.675816,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,2.681833,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.198579,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.143401,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,2.687565,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.231475,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.161435,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,2.667158,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,2.711465,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.138529,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,2.711935,6132
GKO,omp,CG,BiCGStab,none,0,2,0.235206,3.193174,6132
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.528008,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.595305,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.599576,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.572883,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.498651,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.534324,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.611278,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.591183,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.566592,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.528129,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.535079,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.537641,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.538598,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.56178,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.541638,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.603407,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.56666,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.573563,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.559813,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.566078,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.559801,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.618897,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.566729,6129
GKO,omp,CG,BiCGStab,none,0,4,0.228275,2.600801,6129
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.399676,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.453149,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.400717,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.422738,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.502176,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.474144,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.395389,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.463258,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.470628,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.447297,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.50278,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.475796,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.429151,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.478149,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.437987,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.445055,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.432375,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.40759,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.541794,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.417677,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.475744,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.480455,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.496091,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.525271,6116
GKO,omp,CG,BiCGStab,none,0,8,0.229444,2.390143,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.476072,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.62818,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.560616,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.62067,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.5933,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.665895,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.490076,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.619822,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.525278,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.680679,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.551711,6116
GKO,omp,CG,BiCGStab,none,0,16,0.23563,2.675786,6116
GKO,omp,CG,BiCGStab,none,0,32,0.323835,3.381212,6139
GKO,omp,CG,BiCGStab,none,0,32,0.323835,3.184328,6139
