backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.846506,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.863247,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.847929,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.859567,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.864102,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.86261,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.862127,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.851377,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.847303,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.858653,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.850154,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.856596,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.86171,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.864748,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.858232,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.862458,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.856288,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.847172,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.851246,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.863855,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.854296,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.845272,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.849801,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.846731,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.843353,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.849501,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.849233,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.8435,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.845408,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.848649,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.846293,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.850571,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.874209,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.865587,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.853135,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.845495,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.852471,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.851806,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.842972,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.850632,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.844444,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.846344,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.847381,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.852499,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.86798,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.871328,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.864393,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.85725,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.853849,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.856805,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.86197,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.854991,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.844027,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.843096,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.844279,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.842672,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.845122,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.844641,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.843679,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.849326,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.844712,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.845134,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.854725,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.869051,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.859646,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.857851,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.849294,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.847044,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.84486,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.845624,4987
OF,reference,CG,BiCGStab,none,0,1,0.244839,0.848128,4987
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.241011,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.259087,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.264441,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.268791,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.271108,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.340794,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.257966,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.267254,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.275022,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.259917,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.249361,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.247036,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.246165,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.254202,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.249325,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.251026,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.222852,1.248779,4990
