backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,BJ,0,1,0.267781,2.083969,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.476854,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.473194,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.504299,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.456866,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.497579,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.475438,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.50607,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.477709,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.53134,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.47192,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.509647,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.471027,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.514601,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.477289,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.535033,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.468939,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.503131,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.470852,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.494293,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.467891,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.486992,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.462395,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.469156,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.450701,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.479239,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.473242,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.486512,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.48304,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.489051,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.477199,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.503869,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.451924,1477
GKO,cuda,CG,BJ,0,1,0.267781,1.480607,1477
