backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,none,0,1,0.271391,3.396461,3996
GKO,cuda,CG,none,0,1,0.271391,2.113725,3996
GKO,cuda,CG,none,0,1,0.271391,1.967438,3996
GKO,cuda,CG,none,0,1,0.271391,2.118129,3996
GKO,cuda,CG,none,0,1,0.271391,1.977051,3996
GKO,cuda,CG,none,0,1,0.271391,2.139621,3996
GKO,cuda,CG,none,0,1,0.271391,1.971021,3996
GKO,cuda,CG,none,0,1,0.271391,1.964988,3996
GKO,cuda,CG,none,0,1,0.271391,1.966156,3996
GKO,cuda,CG,none,0,1,0.271391,1.966494,3996
GKO,cuda,CG,none,0,1,0.271391,1.975215,3996
GKO,cuda,CG,none,0,1,0.271391,1.967601,3996
GKO,cuda,CG,none,0,1,0.271391,2.100244,3996
GKO,cuda,CG,none,0,1,0.271391,1.971844,3996
GKO,cuda,CG,none,0,1,0.271391,1.965047,3996
GKO,cuda,CG,none,0,1,0.271391,2.033047,3996
GKO,cuda,CG,none,0,1,0.271391,2.001908,3996
GKO,cuda,CG,none,0,1,0.271391,2.104218,3996
GKO,cuda,CG,none,0,1,0.271391,2.090724,3996
GKO,cuda,CG,none,0,1,0.271391,2.089409,3996
GKO,cuda,CG,none,0,1,0.271391,2.007647,3996
GKO,cuda,CG,none,0,1,0.271391,1.981526,3996
GKO,cuda,CG,none,0,1,0.271391,2.112253,3996
GKO,cuda,CG,none,0,1,0.271391,2.126068,3996
GKO,cuda,CG,none,0,1,0.271391,2.13208,3996
GKO,cuda,CG,none,0,1,0.271391,2.001326,3996
GKO,cuda,CG,none,0,1,0.271391,2.128527,3996
GKO,cuda,CG,none,0,1,0.271391,2.021015,3996
GKO,cuda,CG,none,0,1,0.271391,1.991715,3996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.09542,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.097086,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.10447,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.087273,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.085106,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.083527,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.115613,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.079684,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,1.993644,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.112872,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.07878,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.08604,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,1.993177,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,1.976199,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,1.975241,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,1.959436,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,1.969149,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.072533,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.079607,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.122288,1996
GKO,cuda,BiCGStab,none,0,1,0.237319,2.101405,1996
