backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,3.530243,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,3.203231,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.944464,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.934125,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.940817,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.959017,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.9931,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.97551,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.960245,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.947598,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.947453,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.936733,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.953522,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.927593,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.954461,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.936555,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.930488,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.954648,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.957421,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.939428,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.257363,2.959323,6109
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.919456,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.910206,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.945645,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.862351,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.91734,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.941995,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.926843,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.914291,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.905141,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.897652,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.961947,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.953298,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.92436,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.924263,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.910337,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.90147,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.882689,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.935929,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.943906,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.926971,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.227877,2.937393,4140
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,4.114101,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.785347,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.856567,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.790772,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.862309,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.819003,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.814412,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,4.139312,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.785844,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.818837,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.790304,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.854335,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.791189,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.811039,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.790294,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.4013,3.839026,6607
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.712964,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.779181,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.711248,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.786413,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.721122,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.776498,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.706152,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.800051,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.739444,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,4.051991,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.737479,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.777103,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.730536,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.766029,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.713974,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.397656,3.772113,4464
GKO,cuda,CG,BiCGStab,none,2,1,1.134535,9.123961,6644
GKO,cuda,CG,BiCGStab,none,2,1,1.134535,9.309546,6644
GKO,cuda,CG,BiCGStab,none,2,1,1.134535,9.135244,6644
GKO,cuda,CG,BiCGStab,none,2,1,1.134535,9.278423,6644
GKO,cuda,CG,BiCGStab,none,2,1,1.134535,9.151481,6644
GKO,cuda,CG,BiCGStab,none,2,1,1.134535,9.106418,6644
GKO,cuda,CG,BiCGStab,none,2,1,1.134535,8.972773,6644
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.151306,8.961642,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.151306,9.169228,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.151306,9.10993,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.151306,9.082348,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.151306,9.106805,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.151306,9.137524,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.151306,8.929873,4508
GKO,cuda,CG,BiCGStab,none,3,1,4.389518,27.916769,6169
GKO,cuda,CG,BiCGStab,none,3,1,4.389518,28.337549,6169
GKO,cuda,CG,BiCGStab,none,3,1,4.389518,28.085286,6169
GKO,cuda,CG,BiCGStab,none,3,1,4.389518,28.405498,6169
