backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.707449,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.659867,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.64442,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.647351,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.651333,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.650529,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.664645,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.659662,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.657907,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.6913,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.655015,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.651242,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.657159,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.697941,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.6557,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.656968,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.686986,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.659567,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.687685,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.649498,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.653445,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.656986,1041
GKO,omp,BiCGStab,BJ,0,1,0.219056,2.654431,1041
GKO,omp,BiCGStab,BJ,0,2,0.221095,1.755319,1043
GKO,omp,BiCGStab,BJ,0,2,0.221095,1.665931,1043
GKO,omp,BiCGStab,BJ,0,2,0.221095,1.747007,1043
GKO,omp,BiCGStab,BJ,0,2,0.221095,1.738268,1043
GKO,omp,BiCGStab,BJ,0,2,0.221095,1.736986,1043
GKO,omp,BiCGStab,BJ,0,2,0.221095,1.669399,1043
GKO,omp,BiCGStab,BJ,0,2,0.221095,1.801924,1043
GKO,omp,BiCGStab,BJ,0,2,0.221095,1.768735,1043
GKO,omp,BiCGStab,BJ,0,2,0.221095,1.744354,1043
