backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,none,0,1,0.2345,1.824718,3996
GKO,omp,CG,none,0,1,0.2345,1.862164,3996
GKO,omp,CG,none,0,1,0.2345,1.836492,3996
GKO,omp,CG,none,0,1,0.2345,1.832574,3996
GKO,omp,CG,none,0,1,0.2345,1.88201,3996
GKO,omp,CG,none,0,1,0.2345,1.852825,3996
GKO,omp,CG,none,0,1,0.2345,1.901483,3996
GKO,omp,CG,none,0,1,0.2345,1.840082,3996
GKO,omp,CG,none,0,1,0.2345,1.859547,3996
GKO,omp,CG,none,0,1,0.2345,1.861984,3996
GKO,omp,CG,none,0,1,0.2345,1.846072,3996
GKO,omp,CG,none,0,1,0.2345,1.868009,3996
GKO,omp,CG,none,0,1,0.2345,1.85458,3996
GKO,omp,CG,none,0,1,0.2345,1.887966,3996
GKO,omp,CG,none,0,1,0.2345,1.870101,3996
GKO,omp,CG,none,0,1,0.2345,1.857228,3996
GKO,omp,CG,none,0,1,0.2345,1.846222,3996
GKO,omp,CG,none,0,1,0.2345,1.827735,3996
GKO,omp,CG,none,0,1,0.2345,1.867494,3996
GKO,omp,CG,none,0,1,0.2345,1.879177,3996
GKO,omp,CG,none,0,1,0.2345,1.851207,3996
GKO,omp,CG,none,0,1,0.2345,1.854707,3996
GKO,omp,CG,none,0,1,0.2345,1.860477,3996
GKO,omp,CG,none,0,1,0.2345,1.881925,3996
GKO,omp,CG,none,0,1,0.2345,1.865834,3996
GKO,omp,CG,none,0,1,0.2345,1.848633,3996
GKO,omp,CG,none,0,1,0.2345,1.93624,3996
GKO,omp,CG,none,0,1,0.2345,1.924996,3996
GKO,omp,CG,none,0,1,0.2345,1.837641,3996
GKO,omp,CG,none,0,1,0.2345,1.860082,3996
GKO,omp,CG,none,0,1,0.2345,1.859062,3996
GKO,omp,CG,none,0,1,0.2345,1.872307,3996
GKO,omp,CG,none,0,1,0.2345,1.861827,3996
GKO,omp,CG,none,0,2,0.23002,1.433562,3996
GKO,omp,CG,none,0,2,0.23002,1.64773,3996
GKO,omp,CG,none,0,2,0.23002,1.615484,3996
GKO,omp,CG,none,0,2,0.23002,1.613247,3996
GKO,omp,CG,none,0,2,0.23002,1.401767,3996
GKO,omp,CG,none,0,2,0.23002,1.678368,3996
GKO,omp,CG,none,0,2,0.23002,1.647589,3996
GKO,omp,CG,none,0,2,0.23002,1.597174,3996
GKO,omp,CG,none,0,2,0.23002,1.655884,3996
GKO,omp,CG,none,0,2,0.23002,1.64532,3996
GKO,omp,CG,none,0,2,0.23002,1.418389,3996
GKO,omp,CG,none,0,2,0.23002,1.695127,3996
GKO,omp,CG,none,0,2,0.23002,1.640628,3996
GKO,omp,CG,none,0,2,0.23002,1.643333,3996
GKO,omp,CG,none,0,2,0.23002,1.424742,3996
GKO,omp,CG,none,0,2,0.23002,1.432534,3996
GKO,omp,CG,none,0,2,0.23002,1.653848,3996
GKO,omp,CG,none,0,2,0.23002,1.647486,3996
GKO,omp,CG,none,0,2,0.23002,1.42025,3996
GKO,omp,CG,none,0,2,0.23002,1.658883,3996
GKO,omp,CG,none,0,2,0.23002,1.66002,3996
GKO,omp,CG,none,0,2,0.23002,1.42314,3996
GKO,omp,CG,none,0,2,0.23002,1.662251,3996
GKO,omp,CG,none,0,2,0.23002,1.653988,3996
GKO,omp,CG,none,0,2,0.23002,1.650325,3996
GKO,omp,CG,none,0,2,0.23002,1.660148,3996
GKO,omp,CG,none,0,2,0.23002,1.655485,3996
GKO,omp,CG,none,0,2,0.23002,1.646668,3996
GKO,omp,CG,none,0,2,0.23002,1.634773,3996
GKO,omp,CG,none,0,2,0.23002,1.661251,3996
GKO,omp,CG,none,0,2,0.23002,1.410192,3996
GKO,omp,CG,none,0,2,0.23002,1.636379,3996
GKO,omp,CG,none,0,2,0.23002,1.629258,3996
GKO,omp,CG,none,0,2,0.23002,1.430489,3996
GKO,omp,CG,none,0,2,0.23002,1.405493,3996
GKO,omp,CG,none,0,2,0.23002,1.644172,3996
GKO,omp,CG,none,0,2,0.23002,1.657142,3996
GKO,omp,CG,none,0,2,0.23002,1.620194,3996
GKO,omp,CG,none,0,4,0.231544,1.33523,3996
GKO,omp,CG,none,0,4,0.231544,1.332573,3996
GKO,omp,CG,none,0,4,0.231544,1.347488,3996
GKO,omp,CG,none,0,4,0.231544,1.307644,3996
GKO,omp,CG,none,0,4,0.231544,1.37564,3996
GKO,omp,CG,none,0,4,0.231544,1.318811,3996
GKO,omp,CG,none,0,4,0.231544,1.367385,3996
GKO,omp,CG,none,0,4,0.231544,1.367177,3996
GKO,omp,CG,none,0,4,0.231544,1.198574,3996
GKO,omp,CG,none,0,4,0.231544,1.322619,3996
GKO,omp,CG,none,0,4,0.231544,1.329984,3996
GKO,omp,CG,none,0,4,0.231544,1.338548,3996
GKO,omp,CG,none,0,4,0.231544,1.311868,3996
GKO,omp,CG,none,0,4,0.231544,1.314694,3996
GKO,omp,CG,none,0,4,0.231544,1.338421,3996
GKO,omp,CG,none,0,4,0.231544,1.337603,3996
GKO,omp,CG,none,0,4,0.231544,1.338393,3996
GKO,omp,CG,none,0,4,0.231544,1.34696,3996
GKO,omp,CG,none,0,4,0.231544,1.342956,3996
GKO,omp,CG,none,0,4,0.231544,1.373071,3996
GKO,omp,CG,none,0,4,0.231544,1.335229,3996
GKO,omp,CG,none,0,4,0.231544,1.31379,3996
GKO,omp,CG,none,0,4,0.231544,1.33154,3996
GKO,omp,CG,none,0,4,0.231544,1.364046,3996
GKO,omp,CG,none,0,4,0.231544,1.321269,3996
GKO,omp,CG,none,0,4,0.231544,1.344754,3996
GKO,omp,CG,none,0,4,0.231544,1.325307,3996
GKO,omp,CG,none,0,4,0.231544,1.340284,3996
GKO,omp,CG,none,0,4,0.231544,1.319123,3996
GKO,omp,CG,none,0,4,0.231544,1.360433,3996
GKO,omp,CG,none,0,4,0.231544,1.330983,3996
GKO,omp,CG,none,0,4,0.231544,1.343465,3996
GKO,omp,CG,none,0,4,0.231544,1.324239,3996
GKO,omp,CG,none,0,4,0.231544,1.337857,3996
GKO,omp,CG,none,0,4,0.231544,1.333541,3996
GKO,omp,CG,none,0,4,0.231544,1.32698,3996
GKO,omp,CG,none,0,4,0.231544,1.367515,3996
GKO,omp,CG,none,0,4,0.231544,1.384902,3996
GKO,omp,CG,none,0,4,0.231544,1.345458,3996
GKO,omp,CG,none,0,4,0.231544,1.340186,3996
GKO,omp,CG,none,0,4,0.231544,1.338012,3996
GKO,omp,CG,none,0,4,0.231544,1.316158,3996
GKO,omp,CG,none,0,4,0.231544,1.343594,3996
GKO,omp,CG,none,0,4,0.231544,1.32938,3996
GKO,omp,CG,none,0,4,0.231544,1.343823,3996
GKO,omp,CG,none,0,8,0.231095,1.224498,3996
GKO,omp,CG,none,0,8,0.231095,1.241518,3996
GKO,omp,CG,none,0,8,0.231095,1.23088,3996
GKO,omp,CG,none,0,8,0.231095,1.29574,3996
GKO,omp,CG,none,0,8,0.231095,1.199551,3996
GKO,omp,CG,none,0,8,0.231095,1.19742,3996
GKO,omp,CG,none,0,8,0.231095,1.206479,3996
GKO,omp,CG,none,0,8,0.231095,1.256353,3996
GKO,omp,CG,none,0,8,0.231095,1.253568,3996
GKO,omp,CG,none,0,8,0.231095,1.272475,3996
GKO,omp,CG,none,0,8,0.231095,1.225152,3996
GKO,omp,CG,none,0,8,0.231095,1.248443,3996
GKO,omp,CG,none,0,8,0.231095,1.257831,3996
GKO,omp,CG,none,0,8,0.231095,1.279762,3996
