backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,BiCGStab,DIC,0,1,0.24003,0.382654,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.375591,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.370586,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.367641,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.367738,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.366172,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.36615,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.362942,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.365423,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.359745,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.366153,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.378316,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.370678,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.362722,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.365971,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.361373,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.364033,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.36641,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.365743,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.367255,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.382286,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.375577,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.368674,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.361127,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.363038,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.362334,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.358326,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.362086,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.365665,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.362849,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.372446,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.36344,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.361116,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.3659,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.361831,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.359364,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.3602,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.361927,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.35796,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.366497,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.377761,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.365768,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.365497,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.362932,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.360184,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.365491,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.361303,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.361335,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.363807,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.377468,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.369293,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.373771,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.370063,224
OF,reference,BiCGStab,DIC,0,1,0.24003,0.362211,224
