backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,none,0,1,0.267439,0.674214,4000
OF,reference,CG,none,0,1,0.267439,0.698859,4000
OF,reference,CG,none,0,1,0.267439,0.670948,4000
OF,reference,CG,none,0,1,0.267439,0.672132,4000
OF,reference,CG,none,0,1,0.267439,0.665291,4000
OF,reference,CG,none,0,1,0.267439,0.672936,4000
OF,reference,CG,none,0,1,0.267439,0.672405,4000
OF,reference,CG,none,0,1,0.267439,0.66553,4000
OF,reference,CG,none,0,1,0.267439,0.669769,4000
OF,reference,CG,none,0,1,0.267439,0.667734,4000
OF,reference,CG,none,0,1,0.267439,0.667016,4000
OF,reference,CG,none,0,1,0.267439,0.675422,4000
OF,reference,CG,none,0,1,0.267439,0.670891,4000
OF,reference,CG,none,0,1,0.267439,0.671202,4000
OF,reference,CG,none,0,1,0.267439,0.667907,4000
OF,reference,CG,none,0,1,0.267439,0.670907,4000
OF,reference,CG,none,0,1,0.267439,0.669326,4000
OF,reference,CG,none,0,1,0.267439,0.669338,4000
OF,reference,CG,none,0,1,0.267439,0.669878,4000
OF,reference,CG,none,0,1,0.267439,0.670218,4000
OF,reference,CG,none,0,1,0.267439,0.668836,4000
OF,reference,CG,none,0,1,0.267439,0.677089,4000
OF,reference,CG,none,0,1,0.267439,0.66959,4000
OF,reference,CG,none,0,1,0.267439,0.667863,4000
OF,reference,CG,none,0,1,0.267439,0.665763,4000
OF,reference,CG,none,0,1,0.267439,0.666026,4000
OF,reference,CG,none,0,1,0.267439,0.675317,4000
OF,reference,CG,none,0,1,0.267439,0.671777,4000
OF,reference,CG,none,0,1,0.267439,0.666119,4000
OF,reference,CG,none,0,1,0.267439,0.668339,4000
OF,reference,CG,none,0,1,0.267439,0.667306,4000
OF,reference,CG,none,0,1,0.267439,0.672921,4000
OF,reference,CG,none,0,1,0.267439,0.669165,4000
OF,reference,CG,none,0,1,0.267439,0.667858,4000
OF,reference,CG,none,0,1,0.267439,0.669104,4000
OF,reference,CG,none,0,1,0.267439,0.690623,4000
OF,reference,CG,none,0,1,0.267439,0.717672,4000
OF,reference,CG,none,0,1,0.267439,0.670282,4000
OF,reference,CG,none,0,1,0.267439,0.66618,4000
OF,reference,CG,none,0,1,0.267439,0.666436,4000
OF,reference,CG,none,0,1,0.267439,0.66724,4000
OF,reference,CG,none,0,1,0.267439,0.665343,4000
OF,reference,CG,none,0,1,0.267439,0.666845,4000
OF,reference,CG,none,0,1,0.267439,0.667606,4000
OF,reference,CG,none,0,1,0.267439,0.666229,4000
OF,reference,CG,none,0,1,0.267439,0.66621,4000
OF,reference,CG,none,0,1,0.267439,0.671547,4000
OF,reference,CG,none,0,1,0.267439,0.662496,4000
OF,reference,CG,none,0,1,0.267439,0.66824,4000
OF,reference,CG,none,0,1,0.267439,0.669826,4000
OF,reference,CG,none,0,1,0.267439,0.661753,4000
OF,reference,CG,none,0,1,0.267439,0.668287,4000
OF,reference,CG,none,0,1,0.267439,0.667468,4000
OF,reference,CG,none,0,1,0.267439,0.670659,4000
OF,reference,CG,none,0,1,0.267439,0.667233,4000
OF,reference,CG,none,0,1,0.267439,0.667379,4000
OF,reference,CG,none,0,1,0.267439,0.676603,4000
OF,reference,CG,none,0,1,0.267439,0.668774,4000
OF,reference,CG,none,0,1,0.267439,0.66939,4000
OF,reference,CG,none,0,1,0.267439,0.672836,4000
OF,reference,CG,none,0,1,0.267439,0.674857,4000
OF,reference,CG,none,0,1,0.267439,0.669482,4000
OF,reference,CG,none,0,1,0.267439,0.665187,4000
OF,reference,CG,none,0,1,0.267439,0.666071,4000
OF,reference,CG,none,0,1,0.267439,0.672857,4000
OF,reference,CG,none,0,1,0.267439,0.668339,4000
OF,reference,CG,none,0,1,0.267439,0.668154,4000
OF,reference,CG,none,0,1,0.267439,0.670617,4000
OF,reference,CG,none,0,1,0.267439,0.668759,4000
OF,reference,CG,none,0,1,0.267439,0.669011,4000
OF,reference,CG,none,0,1,0.267439,0.666845,4000
OF,reference,CG,none,0,1,0.267439,0.667309,4000
OF,reference,CG,none,0,1,0.267439,0.666375,4000
OF,reference,CG,none,0,1,0.267439,0.668589,4000
OF,reference,CG,none,0,1,0.267439,0.668785,4000
OF,reference,CG,none,0,1,0.267439,0.664519,4000
OF,reference,CG,none,0,1,0.267439,0.665764,4000
OF,reference,CG,none,0,1,0.267439,0.665746,4000
OF,reference,CG,none,0,1,0.267439,0.666774,4000
OF,reference,CG,none,0,1,0.267439,0.667322,4000
OF,reference,CG,none,0,1,0.267439,0.66161,4000
OF,reference,CG,none,0,1,0.267439,0.66799,4000
OF,reference,CG,none,0,1,0.267439,0.671945,4000
OF,reference,CG,none,0,1,0.267439,0.67052,4000
OF,reference,CG,none,0,1,0.267439,0.669644,4000
OF,reference,CG,none,0,1,0.267439,0.66594,4000
OF,reference,CG,none,0,1,0.267439,0.667486,4000
OF,reference,CG,none,0,1,0.267439,0.671918,4000
OF,reference,CG,none,0,1,0.267439,0.668167,4000
OF,reference,CG,none,0,1,0.267439,0.665089,4000
OF,reference,CG,none,1,1,0.407048,2.37776,4000
OF,reference,CG,none,1,1,0.407048,2.403174,4000
OF,reference,CG,none,1,1,0.407048,2.42184,4000
OF,reference,CG,none,1,1,0.407048,2.377734,4000
OF,reference,CG,none,1,1,0.407048,2.387596,4000
OF,reference,CG,none,1,1,0.407048,2.413647,4000
OF,reference,CG,none,1,1,0.407048,2.372172,4000
OF,reference,CG,none,1,1,0.407048,2.385656,4000
