backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.132176,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.078404,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.085272,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.096198,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.082573,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.081032,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.085171,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.079303,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.086408,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.080109,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.07324,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.094403,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.08199,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.095106,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.070864,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.078667,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.075533,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.08174,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.069469,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.246027,3.074474,1186
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.231226,2.098176,1166
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.231226,2.047803,1166
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.231226,2.033876,1166
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.231226,2.025308,1166
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.231226,2.1087,1166
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.231226,2.057718,1166
