backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,2.656442,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,2.649619,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,2.644672,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.117336,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.029498,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.130126,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,2.647264,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.075208,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.122738,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,2.648008,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,2.906094,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.054897,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.105456,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.043816,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.169337,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,2.645728,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.109844,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.109011,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.098876,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,3.058114,4125
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.231082,2.645569,4125
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.466779,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.539603,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.492236,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.528471,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.523391,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.529676,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.5384,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.446112,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.55723,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.546358,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.465854,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.4698,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.484584,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.492655,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.445845,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.508026,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.658638,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.519881,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.48339,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.472531,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.51877,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.503531,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.532461,4123
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.234637,2.556661,4123
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.427432,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.392084,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.431015,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.436756,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.47683,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.392121,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.417239,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.511799,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.518058,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.485587,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.453881,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.478692,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.400733,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.574843,4088
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.227459,2.372756,4088
