backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.392797,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.39106,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.393949,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.38808,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.38295,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.384537,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.38126,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.379717,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.385652,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.38332,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.389852,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.391424,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.383374,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.398817,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.383462,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.37928,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.381265,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.381505,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.381358,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.383232,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.381662,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.389699,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.380618,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.412342,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.427749,1528
GKO,omp,CG,BiCGStab,BJ,0,1,0.228761,2.392218,1528
