backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.608809,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.651975,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.61257,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.642853,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.607,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.634412,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.586945,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.646511,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.657838,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.627814,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.652771,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.601693,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.617924,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.600937,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.661291,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.640993,6125
GKO,omp,CG,BiCGStab,none,0,1,0.237367,3.660721,6125
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.247059,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.236223,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.209264,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.232968,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.191217,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.172146,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.256269,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,2.681173,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,2.656402,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.222525,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.217827,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.268309,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.234346,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,2.694055,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.251689,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.179238,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.200433,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.192835,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,2.69584,6124
GKO,omp,CG,BiCGStab,none,0,2,0.234163,3.23484,6124
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.565491,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.620423,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.596198,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.560729,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.529757,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.629326,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.61172,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.596808,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.62772,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.567927,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.572477,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.562549,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.586225,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.567486,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.555339,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.565964,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.583043,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.554549,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.55226,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.562599,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.566839,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.591669,6165
GKO,omp,CG,BiCGStab,none,0,4,0.228948,2.612471,6165
