backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.872357,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.8583,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.861243,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.867908,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.86535,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.861938,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.849702,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.863873,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.86011,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.860343,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.856667,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.856176,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.867943,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.848052,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.86202,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.857846,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.863034,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.857561,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.856898,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.857994,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.855325,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.858541,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.860847,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.858443,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.859655,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.856127,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.854195,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.855658,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.862949,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.862712,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.854799,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.859295,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.856769,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.862626,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.854824,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.860775,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.852548,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.853773,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.847523,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.872218,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.860486,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.863468,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.916971,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.867126,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.858205,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.8676,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.862847,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.860789,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.857012,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.860102,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.853583,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.866024,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.861603,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.858719,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.85624,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.848475,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.882576,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.861287,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.861721,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.859941,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.856519,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.855508,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.866274,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.862364,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.8601,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.858009,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.858084,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.852963,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.859325,4987
OF,reference,CG,BiCGStab,none,0,1,0.242151,0.862594,4987
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.335852,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.36095,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.358204,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.383364,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.309819,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.307966,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.324328,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.35148,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.36005,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.304304,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.291775,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.30694,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.351479,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.350896,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.318439,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.320597,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.336633,4956
OF,reference,CG,BiCGStab,none,1,1,0.402075,3.359247,4956
OF,reference,CG,BiCGStab,none,2,1,1.151697,16.333969,4892
OF,reference,CG,BiCGStab,none,2,1,1.151697,16.07032,4892
