backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.564971,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.541598,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.604724,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.605534,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.596477,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.586833,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.600555,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.554621,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.555791,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.542367,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.558034,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.544296,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.548913,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.55368,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.557922,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.596946,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.592526,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.594123,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.592237,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.590922,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.586419,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.55863,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.559057,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.564203,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.557349,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.553091,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.564497,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.563405,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.557287,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.553969,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.558394,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.549815,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.558167,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.553526,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.557346,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.559487,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.551504,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.541891,1038
GKO,cuda,BiCGStab,BJ,0,1,0.224251,1.548075,1038
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.486138,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.4651,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.480005,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.543084,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.541819,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.526374,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.488779,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.475695,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.47166,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.469998,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.46644,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.478361,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.469606,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.471164,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.47668,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.47673,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.479637,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.545759,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.538617,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.536816,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.545321,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.516485,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.47369,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.472121,1996
GKO,cuda,BiCGStab,BJ,1,1,0.401518,2.466883,1996
GKO,cuda,BiCGStab,BJ,2,1,1.156528,6.107206,1996
GKO,cuda,BiCGStab,BJ,2,1,1.156528,7.266722,1996
GKO,cuda,BiCGStab,BJ,2,1,1.156528,7.379604,1996
GKO,cuda,BiCGStab,BJ,2,1,1.156528,7.239403,1996
GKO,cuda,BiCGStab,BJ,2,1,1.156528,6.10495,1996
