backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,none,0,1,0.227153,1.933292,3996
GKO,cuda,CG,none,0,1,0.227153,1.931949,3996
GKO,cuda,CG,none,0,1,0.227153,1.935686,3996
GKO,cuda,CG,none,0,1,0.227153,2.008333,3996
GKO,cuda,CG,none,0,1,0.227153,1.931046,3996
GKO,cuda,CG,none,0,1,0.227153,1.931781,3996
GKO,cuda,CG,none,0,1,0.227153,1.933315,3996
GKO,cuda,CG,none,0,1,0.227153,1.92345,3996
GKO,cuda,CG,none,0,1,0.227153,1.925758,3996
GKO,cuda,CG,none,0,1,0.227153,1.922035,3996
GKO,cuda,CG,none,0,1,0.227153,1.925122,3996
GKO,cuda,CG,none,0,1,0.227153,1.922232,3996
GKO,cuda,CG,none,0,1,0.227153,1.933912,3996
GKO,cuda,CG,none,0,1,0.227153,1.924564,3996
GKO,cuda,CG,none,0,1,0.227153,1.944078,3996
GKO,cuda,CG,none,0,1,0.227153,1.928863,3996
GKO,cuda,CG,none,0,1,0.227153,1.929317,3996
GKO,cuda,CG,none,0,1,0.227153,2.016147,3996
GKO,cuda,CG,none,0,1,0.227153,2.037417,3996
GKO,cuda,CG,none,0,1,0.227153,1.954706,3996
GKO,cuda,CG,none,0,1,0.227153,1.937667,3996
GKO,cuda,CG,none,0,1,0.227153,1.919294,3996
GKO,cuda,CG,none,0,1,0.227153,1.99955,3996
GKO,cuda,CG,none,0,1,0.227153,1.990102,3996
GKO,cuda,CG,none,0,1,0.227153,1.988268,3996
GKO,cuda,CG,none,0,1,0.227153,1.934221,3996
GKO,cuda,CG,none,0,1,0.227153,1.925289,3996
GKO,cuda,CG,none,0,1,0.227153,1.913065,3996
GKO,cuda,CG,none,0,1,0.227153,1.918139,3996
GKO,cuda,CG,none,0,1,0.227153,1.912678,3996
GKO,cuda,CG,none,0,1,0.227153,1.923749,3996
GKO,cuda,CG,none,1,1,0.39541,2.471679,3996
GKO,cuda,CG,none,1,1,0.39541,2.490286,3996
GKO,cuda,CG,none,1,1,0.39541,2.492232,3996
GKO,cuda,CG,none,1,1,0.39541,2.479105,3996
GKO,cuda,CG,none,1,1,0.39541,2.480337,3996
GKO,cuda,CG,none,1,1,0.39541,2.484668,3996
GKO,cuda,CG,none,1,1,0.39541,2.490696,3996
GKO,cuda,CG,none,1,1,0.39541,2.482035,3996
GKO,cuda,CG,none,1,1,0.39541,2.479758,3996
GKO,cuda,CG,none,1,1,0.39541,2.484478,3996
GKO,cuda,CG,none,1,1,0.39541,2.482874,3996
GKO,cuda,CG,none,1,1,0.39541,2.57983,3996
GKO,cuda,CG,none,1,1,0.39541,2.576358,3996
GKO,cuda,CG,none,1,1,0.39541,2.491839,3996
GKO,cuda,CG,none,1,1,0.39541,2.489191,3996
GKO,cuda,CG,none,1,1,0.39541,2.472656,3996
GKO,cuda,CG,none,1,1,0.39541,2.57608,3996
GKO,cuda,CG,none,1,1,0.39541,2.56908,3996
GKO,cuda,CG,none,1,1,0.39541,2.558623,3996
GKO,cuda,CG,none,1,1,0.39541,2.494472,3996
GKO,cuda,CG,none,1,1,0.39541,2.490856,3996
GKO,cuda,CG,none,1,1,0.39541,2.47955,3996
GKO,cuda,CG,none,1,1,0.39541,2.487619,3996
GKO,cuda,CG,none,1,1,0.39541,2.491812,3996
GKO,cuda,CG,none,2,1,1.165509,5.857789,3996
GKO,cuda,CG,none,2,1,1.165509,5.849686,3996
GKO,cuda,CG,none,2,1,1.165509,5.873576,3996
GKO,cuda,CG,none,2,1,1.165509,5.808165,3996
GKO,cuda,CG,none,2,1,1.165509,5.847664,3996
GKO,cuda,CG,none,2,1,1.165509,5.847808,3996
GKO,cuda,CG,none,2,1,1.165509,5.836592,3996
GKO,cuda,CG,none,2,1,1.165509,5.853964,3996
GKO,cuda,CG,none,2,1,1.165509,6.919117,3996
GKO,cuda,CG,none,2,1,1.165509,6.920215,3996
GKO,cuda,CG,none,3,1,4.384456,20.707991,3996
GKO,cuda,CG,none,3,1,4.384456,20.678538,3996
GKO,cuda,CG,none,3,1,4.384456,20.766556,3996
GKO,cuda,CG,none,3,1,4.384456,20.513692,3996
GKO,cuda,CG,none,3,1,4.384456,20.812328,3996
