backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.765035,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.722365,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.747339,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.755568,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.773842,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.793439,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.799122,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.744418,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.806146,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.813469,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.830876,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.80695,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.819247,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.798572,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.810763,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.776429,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.753946,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.751195,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.755326,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.735973,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.761497,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.751382,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.74904,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.751174,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.74734,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.738272,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.753036,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.765346,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.746595,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.743275,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.742594,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.739892,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.754374,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.259706,1.74803,1193
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.905179,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.883965,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.881781,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.887587,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.877013,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.896986,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.880477,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.920474,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.875477,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.868126,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.833937,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.888868,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.881491,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.898127,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.863497,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.868555,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.906502,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.884809,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.876826,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.864272,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.421001,2.868471,2222
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.226735,7.457049,2185
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.226735,7.469764,2185
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.226735,7.262675,2185
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.226735,7.430988,2185
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.226735,7.296223,2185
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.226735,7.29871,2185
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.226735,7.421188,2185
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.226735,7.219694,2185
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.226735,7.250905,2185
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,4.620359,24.919639,2174
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,4.620359,25.141906,2174
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,4.620359,25.473768,2174
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,4.620359,25.403316,2174
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,4.620359,24.621993,2174
