backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.899353,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.872171,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.901176,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.89918,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.879363,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.88678,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.870675,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.875088,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.891829,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.877382,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.878054,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.897681,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.897991,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.881831,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.899571,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.862354,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.903056,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.872586,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.893625,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.878014,4140
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.23609,2.893057,4140
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,3.739471,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,4.034699,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,3.811311,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,4.029585,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,3.723211,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,4.052411,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,3.728412,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,4.013235,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,3.742277,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,4.012456,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,3.744693,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,3.719935,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,4.030131,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,3.757289,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,4.020289,4464
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.404464,3.733318,4464
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.165642,8.754959,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.165642,8.720458,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.165642,8.816215,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.165642,11.765439,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.165642,11.553485,4508
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.165642,11.089688,4508
GKO,cuda,BiCGStab,BiCGStab,none,3,1,4.692629,33.230452,4033
GKO,cuda,BiCGStab,BiCGStab,none,3,1,4.692629,31.520565,4033
GKO,cuda,BiCGStab,BiCGStab,none,3,1,4.692629,31.894732,4033
GKO,cuda,BiCGStab,BiCGStab,none,3,1,4.692629,31.739435,4033
GKO,cuda,BiCGStab,BiCGStab,none,3,1,4.692629,32.115677,4033
