backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.582923,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.567494,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.564398,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.56905,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.5772,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.563774,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.56905,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.575228,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.557733,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.576921,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.566632,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.573966,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.567379,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.57177,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.615912,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.56439,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.571747,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.566594,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.567609,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.566318,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.566707,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.562155,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.558661,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.558046,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.569344,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.563471,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.561699,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.56534,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.564293,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.568387,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.569343,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.563108,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.575774,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.576909,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.562246,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.562051,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.571052,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.558511,1528
GKO,cuda,CG,BiCGStab,BJ,0,1,0.228416,1.561429,1528
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.87986,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.866768,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.782746,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.787812,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.800513,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.783356,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.800721,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.795517,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.78659,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.793401,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.785664,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.784337,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.775891,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.782972,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.788863,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.796242,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.782245,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.786475,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.793121,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.776871,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.788034,4218
GKO,cuda,CG,BiCGStab,BJ,1,1,0.397097,2.790836,4218
GKO,cuda,CG,BiCGStab,BJ,2,1,1.169588,8.57757,4185
GKO,cuda,CG,BiCGStab,BJ,2,1,1.169588,8.351802,4185
GKO,cuda,CG,BiCGStab,BJ,2,1,1.169588,7.004389,4185
GKO,cuda,CG,BiCGStab,BJ,2,1,1.169588,7.058471,4185
GKO,cuda,CG,BiCGStab,BJ,2,1,1.169588,7.080634,4185
GKO,cuda,CG,BiCGStab,BJ,2,1,1.169588,7.067523,4185
GKO,cuda,CG,BiCGStab,BJ,2,1,1.169588,7.103888,4185
GKO,cuda,CG,BiCGStab,BJ,2,1,1.169588,7.047874,4185
GKO,cuda,CG,BiCGStab,BJ,2,1,1.169588,7.028059,4185
GKO,cuda,CG,BiCGStab,BJ,3,1,4.469526,24.57171,4173
GKO,cuda,CG,BiCGStab,BJ,3,1,4.469526,24.540305,4173
GKO,cuda,CG,BiCGStab,BJ,3,1,4.469526,25.274003,4173
GKO,cuda,CG,BiCGStab,BJ,3,1,4.469526,24.330455,4173
