backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.98341,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,3.006806,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.965308,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.970065,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.941548,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.975142,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,3.070474,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.940197,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.981025,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.962211,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.955529,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.946252,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.984474,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,3.047876,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.968645,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.983755,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,3.005339,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.955439,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.945205,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.950446,6109
GKO,cuda,CG,BiCGStab,none,0,1,0.232561,2.951485,6109
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,3.903095,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,3.882555,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,3.924655,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,3.874786,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,3.877382,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,3.887129,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,4.132543,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,3.89095,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,3.963002,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,24.045782,6607
GKO,cuda,CG,BiCGStab,none,1,1,0.414257,18.920422,6607
GKO,cuda,CG,BiCGStab,none,2,1,1.225074,9.27188,6644
GKO,cuda,CG,BiCGStab,none,3,1,4.657535,28.948546,6169
GKO,cuda,CG,BiCGStab,none,3,1,4.657535,28.9238,6169
GKO,cuda,CG,BiCGStab,none,3,1,4.657535,28.809472,6169
GKO,cuda,CG,BiCGStab,none,3,1,4.657535,29.153096,6169
GKO,cuda,CG,BiCGStab,none,3,1,4.657535,29.251977,6169
