backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,BJ,0,1,0.253953,2.167283,1511
GKO,omp,CG,BJ,0,1,0.253953,2.103884,1511
GKO,omp,CG,BJ,0,1,0.253953,2.097253,1511
GKO,omp,CG,BJ,0,1,0.253953,2.100638,1511
GKO,omp,CG,BJ,0,1,0.253953,2.10511,1511
GKO,omp,CG,BJ,0,1,0.253953,2.114286,1511
GKO,omp,CG,BJ,0,1,0.253953,2.094493,1511
GKO,omp,CG,BJ,0,1,0.253953,2.125094,1511
GKO,omp,CG,BJ,0,1,0.253953,2.106615,1511
GKO,omp,CG,BJ,0,1,0.253953,2.109341,1511
GKO,omp,CG,BJ,0,1,0.253953,2.091173,1511
GKO,omp,CG,BJ,0,1,0.253953,2.104964,1511
GKO,omp,CG,BJ,0,1,0.253953,2.092599,1511
GKO,omp,CG,BJ,0,1,0.253953,2.085212,1511
GKO,omp,CG,BJ,0,1,0.253953,2.104041,1511
GKO,omp,CG,BJ,0,1,0.253953,2.089698,1511
GKO,omp,CG,BJ,0,1,0.253953,2.117039,1511
GKO,omp,CG,BJ,0,1,0.253953,2.178542,1511
GKO,omp,CG,BJ,0,1,0.253953,2.088321,1511
GKO,omp,CG,BJ,0,1,0.253953,2.090393,1511
GKO,omp,CG,BJ,0,1,0.253953,2.105111,1511
GKO,omp,CG,BJ,0,1,0.253953,2.109658,1511
GKO,omp,CG,BJ,0,1,0.253953,2.109391,1511
GKO,omp,CG,BJ,0,1,0.253953,2.093685,1511
GKO,omp,CG,BJ,0,1,0.253953,2.093757,1511
GKO,omp,CG,BJ,0,1,0.253953,2.115214,1511
GKO,omp,CG,BJ,0,1,0.253953,2.103863,1511
GKO,omp,CG,BJ,0,1,0.253953,2.092574,1511
GKO,omp,CG,BJ,0,1,0.253953,2.099229,1511
GKO,omp,CG,BJ,0,2,0.236197,1.388457,1511
GKO,omp,CG,BJ,0,2,0.236197,1.371587,1511
GKO,omp,CG,BJ,0,2,0.236197,1.426712,1511
GKO,omp,CG,BJ,0,2,0.236197,1.466152,1511
GKO,omp,CG,BJ,0,2,0.236197,1.433513,1511
GKO,omp,CG,BJ,0,2,0.236197,1.47067,1511
GKO,omp,CG,BJ,0,2,0.236197,1.380785,1511
GKO,omp,CG,BJ,0,2,0.236197,1.481331,1511
GKO,omp,CG,BJ,0,2,0.236197,1.479654,1511
GKO,omp,CG,BJ,0,2,0.236197,1.475347,1511
GKO,omp,CG,BJ,0,2,0.236197,1.363346,1511
GKO,omp,CG,BJ,0,2,0.236197,1.375789,1511
GKO,omp,CG,BJ,0,2,0.236197,1.379749,1511
GKO,omp,CG,BJ,0,2,0.236197,1.384951,1511
GKO,omp,CG,BJ,0,2,0.236197,1.375352,1511
GKO,omp,CG,BJ,0,2,0.236197,1.456639,1511
GKO,omp,CG,BJ,0,2,0.236197,1.353769,1511
GKO,omp,CG,BJ,0,2,0.236197,1.366237,1511
GKO,omp,CG,BJ,0,2,0.236197,1.434009,1511
GKO,omp,CG,BJ,0,2,0.236197,1.378906,1511
GKO,omp,CG,BJ,0,2,0.236197,1.471407,1511
GKO,omp,CG,BJ,0,2,0.236197,1.487657,1511
GKO,omp,CG,BJ,0,2,0.236197,1.47466,1511
