backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,DIC,0,1,0.244605,0.36646,367
OF,reference,CG,DIC,0,1,0.244605,0.347787,367
OF,reference,CG,DIC,0,1,0.244605,0.346568,367
OF,reference,CG,DIC,0,1,0.244605,0.347465,367
OF,reference,CG,DIC,0,1,0.244605,0.348302,367
OF,reference,CG,DIC,0,1,0.244605,0.34495,367
OF,reference,CG,DIC,0,1,0.244605,0.346583,367
OF,reference,CG,DIC,0,1,0.244605,0.34699,367
OF,reference,CG,DIC,0,1,0.244605,0.347803,367
OF,reference,CG,DIC,0,1,0.244605,0.345809,367
OF,reference,CG,DIC,0,1,0.244605,0.354942,367
OF,reference,CG,DIC,0,1,0.244605,0.347814,367
OF,reference,CG,DIC,0,1,0.244605,0.354092,367
OF,reference,CG,DIC,0,1,0.244605,0.350325,367
OF,reference,CG,DIC,0,1,0.244605,0.347983,367
OF,reference,CG,DIC,0,1,0.244605,0.346408,367
OF,reference,CG,DIC,0,1,0.244605,0.348103,367
OF,reference,CG,DIC,0,1,0.244605,0.345771,367
OF,reference,CG,DIC,0,1,0.244605,0.345574,367
OF,reference,CG,DIC,0,1,0.244605,0.343931,367
OF,reference,CG,DIC,0,1,0.244605,0.343982,367
OF,reference,CG,DIC,0,1,0.244605,0.34516,367
OF,reference,CG,DIC,0,1,0.244605,0.354904,367
OF,reference,CG,DIC,0,1,0.244605,0.34384,367
OF,reference,CG,DIC,0,1,0.244605,0.343701,367
OF,reference,CG,DIC,0,1,0.244605,0.345195,367
OF,reference,CG,DIC,0,1,0.244605,0.345847,367
OF,reference,CG,DIC,0,1,0.244605,0.345046,367
OF,reference,CG,DIC,0,1,0.244605,0.34902,367
OF,reference,CG,DIC,0,1,0.244605,0.344646,367
OF,reference,CG,DIC,0,1,0.244605,0.345477,367
OF,reference,CG,DIC,0,1,0.244605,0.348672,367
OF,reference,CG,DIC,0,1,0.244605,0.348301,367
OF,reference,CG,DIC,0,1,0.244605,0.349262,367
OF,reference,CG,DIC,0,1,0.244605,0.345608,367
OF,reference,CG,DIC,0,1,0.244605,0.347401,367
OF,reference,CG,DIC,0,1,0.244605,0.344912,367
OF,reference,CG,DIC,0,1,0.244605,0.347903,367
OF,reference,CG,DIC,0,1,0.244605,0.346316,367
OF,reference,CG,DIC,0,1,0.244605,0.343599,367
OF,reference,CG,DIC,0,1,0.244605,0.343302,367
OF,reference,CG,DIC,0,1,0.244605,0.347086,367
OF,reference,CG,DIC,0,1,0.244605,0.345536,367
OF,reference,CG,DIC,0,1,0.244605,0.34719,367
OF,reference,CG,DIC,0,1,0.244605,0.349254,367
OF,reference,CG,DIC,0,1,0.244605,0.343464,367
OF,reference,CG,DIC,0,1,0.244605,0.343009,367
OF,reference,CG,DIC,0,1,0.244605,0.344287,367
OF,reference,CG,DIC,0,1,0.244605,0.350721,367
OF,reference,CG,DIC,0,1,0.244605,0.349055,367
OF,reference,CG,DIC,0,1,0.244605,0.346418,367
OF,reference,CG,DIC,0,1,0.244605,0.343745,367
OF,reference,CG,DIC,0,1,0.244605,0.346011,367
OF,reference,CG,DIC,0,1,0.244605,0.347534,367
OF,reference,CG,DIC,0,1,0.244605,0.350301,367
OF,reference,CG,DIC,0,1,0.244605,0.344317,367
OF,reference,CG,DIC,0,1,0.244605,0.343555,367
OF,reference,CG,DIC,0,1,0.244605,0.347119,367
OF,reference,CG,DIC,0,1,0.244605,0.344417,367
OF,reference,CG,DIC,0,1,0.244605,0.344823,367
OF,reference,CG,DIC,0,1,0.244605,0.344988,367
OF,reference,CG,DIC,0,1,0.244605,0.344657,367
OF,reference,CG,DIC,0,1,0.244605,0.34647,367
OF,reference,CG,DIC,0,1,0.244605,0.344909,367
OF,reference,CG,DIC,0,1,0.244605,0.347584,367
OF,reference,CG,DIC,0,1,0.244605,0.345013,367
OF,reference,CG,DIC,0,1,0.244605,0.346429,367
OF,reference,CG,DIC,0,1,0.244605,0.346469,367
OF,reference,CG,DIC,0,1,0.244605,0.346825,367
OF,reference,CG,DIC,0,1,0.244605,0.349781,367
OF,reference,CG,DIC,0,1,0.244605,0.344904,367
OF,reference,CG,DIC,0,1,0.244605,0.345482,367
OF,reference,CG,DIC,0,1,0.244605,0.348534,367
OF,reference,CG,DIC,0,1,0.244605,0.346916,367
OF,reference,CG,DIC,0,1,0.244605,0.346848,367
OF,reference,CG,DIC,0,1,0.244605,0.345862,367
OF,reference,CG,DIC,0,1,0.244605,0.343295,367
OF,reference,CG,DIC,0,1,0.244605,0.346928,367
OF,reference,CG,DIC,0,1,0.244605,0.345379,367
OF,reference,CG,DIC,0,1,0.244605,0.348596,367
OF,reference,CG,DIC,0,1,0.244605,0.349041,367
OF,reference,CG,DIC,0,1,0.244605,0.345202,367
OF,reference,CG,DIC,0,1,0.244605,0.351367,367
OF,reference,CG,DIC,0,1,0.244605,0.342635,367
OF,reference,CG,DIC,0,1,0.244605,0.353866,367
OF,reference,CG,DIC,0,1,0.244605,0.346594,367
OF,reference,CG,DIC,0,1,0.244605,0.343589,367
OF,reference,CG,DIC,0,1,0.244605,0.345835,367
OF,reference,CG,DIC,0,1,0.244605,0.342366,367
OF,reference,CG,DIC,0,1,0.244605,0.347261,367
OF,reference,CG,DIC,0,1,0.244605,0.344568,367
OF,reference,CG,DIC,0,1,0.244605,0.348199,367
OF,reference,CG,DIC,0,1,0.244605,0.343553,367
OF,reference,CG,DIC,0,1,0.244605,0.346164,367
OF,reference,CG,DIC,0,1,0.244605,0.342917,367
OF,reference,CG,DIC,0,1,0.244605,0.349927,367
OF,reference,CG,DIC,0,1,0.244605,0.351057,367
OF,reference,CG,DIC,0,1,0.244605,0.346327,367
OF,reference,CG,DIC,0,1,0.244605,0.344036,367
OF,reference,CG,DIC,0,1,0.244605,0.346678,367
OF,reference,CG,DIC,0,1,0.244605,0.346398,367
OF,reference,CG,DIC,0,1,0.244605,0.347362,367
OF,reference,CG,DIC,0,1,0.244605,0.343816,367
