backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,BiCGStab,none,0,1,0.25501,1.070007,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.093241,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.082569,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.089901,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.078186,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.07857,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.077689,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.070016,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.074332,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.067802,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.075362,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.075981,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.08672,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.078564,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.077651,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.081781,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.074938,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.069292,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.063807,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.062736,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.077093,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.108624,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.071638,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.075986,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.078782,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.078635,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.073771,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.081847,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.076927,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.083146,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.082834,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.077959,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.077639,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.082963,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.087273,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.077105,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.073693,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.080397,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.080567,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.08342,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.082439,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.090009,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.09088,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.081989,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.070013,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.072898,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.065969,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.067458,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.068244,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.078528,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.076183,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.072966,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.076253,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.078306,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.07925,4000
OF,reference,BiCGStab,none,0,1,0.25501,1.085728,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.401722,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.470025,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.456919,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.39905,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.388839,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.366118,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.411011,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.386668,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.496005,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.419372,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.411656,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.42791,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.388383,4000
OF,reference,BiCGStab,none,1,1,0.40156,4.401907,4000
OF,reference,BiCGStab,none,2,1,1.141825,22.10017,4000
OF,reference,BiCGStab,none,2,1,1.141825,22.034106,4000
OF,reference,BiCGStab,none,2,1,1.141825,22.074019,4000
OF,reference,BiCGStab,none,2,1,1.141825,22.716317,4000
OF,reference,BiCGStab,none,2,1,1.141825,21.988539,4000
OF,reference,BiCGStab,none,3,1,4.361145,111.909249,4000
OF,reference,BiCGStab,none,3,1,4.361145,112.722077,4000
OF,reference,BiCGStab,none,3,1,4.361145,112.821535,4000
OF,reference,BiCGStab,none,3,1,4.361145,112.980905,4000
OF,reference,BiCGStab,none,3,1,4.361145,113.11158,4000
