backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.69101,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.700201,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.687235,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.699566,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.689342,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.688059,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.703827,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.691375,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.680373,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.70038,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.687744,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.693917,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.693944,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.692124,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.693221,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.685695,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.697422,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.685795,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.718617,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.698017,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.69691,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.692104,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.23794,2.689426,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.771297,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.712561,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.740401,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.804291,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.740042,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.812343,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.809827,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.733574,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.867515,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.819749,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.832834,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.781301,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.737567,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.73015,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.688406,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.819052,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.823039,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.79473,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.768387,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.872081,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.693123,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.751279,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.749189,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.779401,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.820264,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.847892,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.751083,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.746879,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.847718,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.899718,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.758559,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.884496,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.745467,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.225628,1.800747,999
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.226156,1.279336,1052
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.226156,1.264418,1052
