backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.094393,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,3.979128,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.028258,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.017294,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.012719,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.035471,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.039707,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.058833,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.047639,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.0594,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.049712,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.025388,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.013965,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.015437,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,0.253654,4.024094,4760
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.340002,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,2.885411,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.350361,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.339137,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.386317,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.331776,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,2.843356,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.364424,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.406295,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,2.910041,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.451439,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,2.887878,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.424832,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.359921,4645
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.228226,3.384415,4645
