backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.160783,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.130224,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.200451,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.132767,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.122154,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.133517,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.127251,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.143147,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.144478,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.133093,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.128316,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.122694,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.130342,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.140016,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.138849,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.149111,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.142791,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.133804,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.130705,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.126372,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.136049,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.14429,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.126287,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.123892,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.119787,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.128402,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.131868,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.142776,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.247677,2.134678,1425
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.421831,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.520614,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.515773,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.432268,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.440132,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.434848,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.523331,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.422987,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.430705,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.519092,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.514682,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.437136,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.430853,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.491503,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.538573,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.433383,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.429581,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.438716,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.43685,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.520686,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.512331,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.531866,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.442368,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.544107,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.443894,1426
GKO,omp,CG,BiCGStab,BJ,0,2,0.22242,1.437607,1426
