backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.606245,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.561018,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.540715,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.527897,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.556352,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.564944,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.528189,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.560374,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.549221,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.532145,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.543969,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.550508,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.53609,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.543378,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.53185,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.552973,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.542926,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.568121,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.546109,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.54086,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.558919,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.558582,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.553912,4805
GKO,omp,CG,BiCGStab,none,0,1,0.262934,2.568889,4805
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.184098,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.93207,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.220215,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.238434,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.216828,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.093833,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.219509,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.963344,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.192348,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.904761,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.262697,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.256191,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.205393,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.257129,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.204225,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.246112,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.198403,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.932104,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.940288,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.237326,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.927882,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.904968,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.919073,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.209842,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.951919,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.909978,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.931693,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,2.218723,4783
GKO,omp,CG,BiCGStab,none,0,2,0.240665,1.909241,4783
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.863817,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.843977,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.842439,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.81766,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.846962,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.834766,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.883949,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.849901,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.86903,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.856355,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.842546,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.807694,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.839001,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.847335,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.860808,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.845484,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.845786,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.835206,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.825794,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.856439,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.834538,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.867437,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.845211,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.851121,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.823845,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.86775,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.853853,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.826965,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.840605,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.826625,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.82187,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.840413,4785
GKO,omp,CG,BiCGStab,none,0,4,0.231282,1.839395,4785
GKO,omp,CG,BiCGStab,none,0,8,0.233171,1.717846,4787
GKO,omp,CG,BiCGStab,none,0,8,0.233171,1.7576,4787
GKO,omp,CG,BiCGStab,none,0,8,0.233171,1.750426,4787
GKO,omp,CG,BiCGStab,none,0,8,0.233171,1.7883,4787
GKO,omp,CG,BiCGStab,none,0,8,0.233171,1.741151,4787
GKO,omp,CG,BiCGStab,none,0,8,0.233171,1.713449,4787
GKO,omp,CG,BiCGStab,none,0,8,0.233171,1.734232,4787
GKO,omp,CG,BiCGStab,none,0,8,0.233171,1.803192,4787
GKO,omp,CG,BiCGStab,none,0,8,0.233171,1.743677,4787
GKO,omp,CG,BiCGStab,none,0,8,0.233171,1.723714,4787
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.914884,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.914502,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.923631,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.86972,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.968739,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.88697,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.810311,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.937103,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.800787,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.866025,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.712044,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.786671,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.910091,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.819374,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.90882,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.951011,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.937624,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.792174,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.815149,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.920043,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.88934,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.912412,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.957057,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.977259,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.854854,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.785296,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.905771,4791
GKO,omp,CG,BiCGStab,none,0,16,0.237545,1.743406,4791
