backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.24854,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.255005,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.201502,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.203613,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.310843,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.259591,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.250027,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.259375,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.257464,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.257834,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.255574,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.250035,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.257899,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.246009,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.250337,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.2197,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.310694,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.253683,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.275444,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.246834,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.255303,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.247104,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.249548,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.248518,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.255172,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.256589,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.253663,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.254726,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.250939,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.247983,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.264599,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.247815,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.248305,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.246569,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.25189,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.259502,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.249368,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.256582,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.248575,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.264705,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.254088,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.257791,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.263342,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.257625,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.24902,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.258839,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.26132,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.223491,1.256805,4990
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.382715,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.360385,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.378332,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.377408,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.344685,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.295252,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.289616,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.28671,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.309448,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.285328,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.28236,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,0.390661,5.301317,4953
OF,reference,BiCGStab,BiCGStab,none,2,1,1.14755,26.759354,4833
OF,reference,BiCGStab,BiCGStab,none,2,1,1.14755,27.386742,4833
OF,reference,BiCGStab,BiCGStab,none,2,1,1.14755,26.658383,4833
OF,reference,BiCGStab,BiCGStab,none,2,1,1.14755,26.650536,4833
OF,reference,BiCGStab,BiCGStab,none,2,1,1.14755,26.455199,4833
OF,reference,BiCGStab,BiCGStab,none,3,1,4.357501,134.966242,4792
OF,reference,BiCGStab,BiCGStab,none,3,1,4.357501,133.808755,4792
OF,reference,BiCGStab,BiCGStab,none,3,1,4.357501,134.580797,4792
OF,reference,BiCGStab,BiCGStab,none,3,1,4.357501,135.276563,4792
OF,reference,BiCGStab,BiCGStab,none,3,1,4.357501,136.178614,4792
