backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,BJ,0,1,0.234446,1.680274,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.675512,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.661523,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.682689,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.658299,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.667582,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.65567,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.670089,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.661765,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.664869,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.668268,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.672567,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.669907,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.65985,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.671796,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.655646,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.664436,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.683976,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.654898,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.672822,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.659836,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.661877,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.675597,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.667498,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.662755,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.676841,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.660951,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.665899,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.664312,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.66229,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.660597,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.655219,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.669719,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.669568,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.669989,1500
GKO,cuda,CG,BJ,0,1,0.234446,1.672025,1500
GKO,cuda,CG,BJ,1,1,0.410517,2.777108,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.804534,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.778878,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.77352,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.76023,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.763935,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.760255,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.764186,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.759953,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.775742,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.769143,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.76504,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.76042,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.754456,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.750101,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.755007,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.755346,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.766646,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.773175,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.766137,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.755442,3984
GKO,cuda,CG,BJ,1,1,0.410517,2.754234,3984
GKO,cuda,CG,BJ,2,1,1.206811,6.76203,4000
GKO,cuda,CG,BJ,2,1,1.206811,6.8446,4000
GKO,cuda,CG,BJ,2,1,1.206811,6.754783,4000
GKO,cuda,CG,BJ,2,1,1.206811,6.715524,4000
GKO,cuda,CG,BJ,2,1,1.206811,6.758975,4000
GKO,cuda,CG,BJ,2,1,1.206811,6.771605,4000
GKO,cuda,CG,BJ,2,1,1.206811,6.767679,4000
GKO,cuda,CG,BJ,2,1,1.206811,6.753679,4000
GKO,cuda,CG,BJ,2,1,1.206811,6.724812,4000
GKO,cuda,CG,BJ,3,1,4.838027,25.383607,4000
GKO,cuda,CG,BJ,3,1,4.838027,25.123468,4000
GKO,cuda,CG,BJ,3,1,4.838027,24.269951,4000
GKO,cuda,CG,BJ,3,1,4.838027,24.600707,4000
GKO,cuda,CG,BJ,3,1,4.838027,24.374128,4000
