backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,none,0,1,0.234015,2.180914,4000
GKO,cuda,CG,none,0,1,0.234015,2.184044,4000
GKO,cuda,CG,none,0,1,0.234015,2.163487,4000
GKO,cuda,CG,none,0,1,0.234015,2.183924,4000
GKO,cuda,CG,none,0,1,0.234015,2.171402,4000
GKO,cuda,CG,none,0,1,0.234015,2.199,4000
GKO,cuda,CG,none,0,1,0.234015,2.169282,4000
GKO,cuda,CG,none,0,1,0.234015,2.213467,4000
GKO,cuda,CG,none,0,1,0.234015,2.161972,4000
GKO,cuda,CG,none,0,1,0.234015,2.179881,4000
GKO,cuda,CG,none,0,1,0.234015,2.161682,4000
GKO,cuda,CG,none,0,1,0.234015,2.188165,4000
GKO,cuda,CG,none,0,1,0.234015,2.167417,4000
GKO,cuda,CG,none,0,1,0.234015,2.191168,4000
GKO,cuda,CG,none,0,1,0.234015,2.169677,4000
GKO,cuda,CG,none,0,1,0.234015,2.184689,4000
GKO,cuda,CG,none,0,1,0.234015,2.180406,4000
GKO,cuda,CG,none,0,1,0.234015,2.187478,4000
GKO,cuda,CG,none,0,1,0.234015,2.182492,4000
GKO,cuda,CG,none,0,1,0.234015,2.190638,4000
GKO,cuda,CG,none,0,1,0.234015,2.164669,4000
GKO,cuda,CG,none,0,1,0.234015,2.213066,4000
GKO,cuda,CG,none,0,1,0.234015,2.168688,4000
GKO,cuda,CG,none,0,1,0.234015,2.188741,4000
GKO,cuda,CG,none,0,1,0.234015,2.173623,4000
GKO,cuda,CG,none,0,1,0.234015,2.17502,4000
GKO,cuda,CG,none,0,1,0.234015,2.19887,4000
GKO,cuda,CG,none,0,1,0.234015,2.173311,4000
GKO,cuda,CG,none,1,1,0.404628,2.828916,4000
GKO,cuda,CG,none,1,1,0.404628,2.799771,4000
GKO,cuda,CG,none,1,1,0.404628,2.818193,4000
GKO,cuda,CG,none,1,1,0.404628,2.785054,4000
GKO,cuda,CG,none,1,1,0.404628,2.808195,4000
GKO,cuda,CG,none,1,1,0.404628,2.785343,4000
GKO,cuda,CG,none,1,1,0.404628,2.786468,4000
GKO,cuda,CG,none,1,1,0.404628,2.820258,4000
GKO,cuda,CG,none,1,1,0.404628,2.783818,4000
GKO,cuda,CG,none,1,1,0.404628,2.812757,4000
GKO,cuda,CG,none,1,1,0.404628,2.797159,4000
GKO,cuda,CG,none,1,1,0.404628,2.782736,4000
GKO,cuda,CG,none,1,1,0.404628,2.812997,4000
GKO,cuda,CG,none,1,1,0.404628,2.784471,4000
GKO,cuda,CG,none,1,1,0.404628,2.805703,4000
GKO,cuda,CG,none,1,1,0.404628,2.780462,4000
GKO,cuda,CG,none,1,1,0.404628,2.808518,4000
GKO,cuda,CG,none,1,1,0.404628,2.798742,4000
GKO,cuda,CG,none,1,1,0.404628,2.810763,4000
GKO,cuda,CG,none,1,1,0.404628,2.807769,4000
GKO,cuda,CG,none,1,1,0.404628,2.786268,4000
GKO,cuda,CG,none,1,1,0.404628,2.814029,4000
GKO,cuda,CG,none,2,1,1.222556,6.569881,4000
GKO,cuda,CG,none,2,1,1.222556,6.672774,4000
GKO,cuda,CG,none,2,1,1.222556,6.568805,4000
GKO,cuda,CG,none,2,1,1.222556,6.66986,4000
GKO,cuda,CG,none,2,1,1.222556,6.589985,4000
GKO,cuda,CG,none,2,1,1.222556,6.607667,4000
GKO,cuda,CG,none,2,1,1.222556,6.552307,4000
GKO,cuda,CG,none,2,1,1.222556,6.60976,4000
GKO,cuda,CG,none,2,1,1.222556,6.60402,4000
GKO,cuda,CG,none,2,1,1.222556,6.563868,4000
GKO,cuda,CG,none,3,1,4.882524,24.825299,4000
GKO,cuda,CG,none,3,1,4.882524,25.008714,4000
GKO,cuda,CG,none,3,1,4.882524,24.956461,4000
GKO,cuda,CG,none,3,1,4.882524,24.239542,4000
GKO,cuda,CG,none,3,1,4.882524,25.066922,4000
