backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.792324,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.758543,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.778412,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.760535,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.776344,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.756926,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.76091,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.772855,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.75786,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.776432,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.760631,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.775646,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.765295,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.781832,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.754923,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.76783,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.761938,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.777553,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.763908,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.774542,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.760365,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.778863,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.761616,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.764682,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.75961,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.768767,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.762245,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.780538,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.755794,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.778228,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.765468,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.79394,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.749507,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,0.228864,1.779864,833
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.37082,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.374579,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.361741,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.382343,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.37213,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.375087,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.377465,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.392971,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.357225,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.37967,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.364869,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.384162,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.365513,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.379113,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.36029,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.377947,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.35776,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,0.397788,3.308856,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.222372,9.33467,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.222372,9.269547,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.222372,9.211059,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.222372,9.373803,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.222372,9.241944,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.222372,9.251473,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,1.222372,9.240713,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,4.877417,34.887142,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,4.877417,35.00504,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,4.877417,34.139683,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,4.877417,34.964806,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,4.877417,34.949729,4080
