backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.231749,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.236438,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.248957,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.243878,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.277316,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.239582,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.246218,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.23961,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.267756,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.246409,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.275978,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.2419,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.246113,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.234523,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.262243,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.236227,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.254485,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.252318,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,0.233824,3.260456,4731
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.036573,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.082898,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.036335,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.065331,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.048361,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.060428,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.020986,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.017686,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.063357,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.044529,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.074205,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.038227,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.049732,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.049273,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,0.410902,4.033025,4823
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.220872,9.617204,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.220872,9.532919,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.220872,9.637986,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.220872,9.593421,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.220872,9.647188,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.220872,9.619588,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,1.220872,9.645208,4758
GKO,cuda,BiCGStab,BiCGStab,none,3,1,4.880484,36.21512,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,4.880484,36.30566,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,4.880484,35.090077,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,4.880484,35.555476,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,4.880484,35.293831,4725
