backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.745378,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.735175,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.743795,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.736064,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.735785,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.730322,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.741189,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.729642,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.722376,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.726208,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.734645,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.758498,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.740531,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.736687,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.73702,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.734478,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.732183,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.751825,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.729957,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.753503,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.726804,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.754698,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.741442,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.739629,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.747645,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.727295,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.758684,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.732626,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.759096,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.74224,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.756292,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.732728,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.759905,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.733486,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,0.229617,1.737133,1418
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.007436,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.034,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,2.995301,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.022915,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.039977,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.012024,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.028677,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.008722,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.002771,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.027785,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.035634,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.018522,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.010727,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.047958,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.007682,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.002422,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.03693,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.038452,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.011752,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,0.409358,3.014627,3841
GKO,cuda,CG,BiCGStab,BJ,2,1,1.222738,7.670795,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,1.222738,7.710393,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,1.222738,7.690057,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,1.222738,7.709866,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,1.222738,7.672178,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,1.222738,7.71124,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,1.222738,7.632053,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,1.222738,7.774466,4085
GKO,cuda,CG,BiCGStab,BJ,3,1,4.896555,28.355567,4085
GKO,cuda,CG,BiCGStab,BJ,3,1,4.896555,28.368427,4085
GKO,cuda,CG,BiCGStab,BJ,3,1,4.896555,27.560459,4085
GKO,cuda,CG,BiCGStab,BJ,3,1,4.896555,28.324538,4085
GKO,cuda,CG,BiCGStab,BJ,3,1,4.896555,28.335192,4085
