backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.501243,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.524017,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.532353,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.507652,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.529764,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.518924,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.491788,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.538896,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.504359,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.530044,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.499799,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.514121,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.535164,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.517936,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.5027,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.537615,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.511818,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.510146,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.506597,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.504997,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.554076,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.501894,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.525961,4793
GKO,cuda,CG,BiCGStab,none,0,1,0.232077,2.519537,4793
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.302883,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.313606,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.294419,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.331669,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.309323,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.309828,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.289402,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.303278,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.28772,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.313365,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.304853,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.326172,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.29789,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.290548,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.323982,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.319226,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.326106,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.310672,4834
GKO,cuda,CG,BiCGStab,none,1,1,0.40811,3.30893,4834
GKO,cuda,CG,BiCGStab,none,2,1,1.202314,7.977415,4807
GKO,cuda,CG,BiCGStab,none,2,1,1.202314,7.98132,4807
GKO,cuda,CG,BiCGStab,none,2,1,1.202314,7.963047,4807
GKO,cuda,CG,BiCGStab,none,2,1,1.202314,7.983114,4807
GKO,cuda,CG,BiCGStab,none,2,1,1.202314,7.930606,4807
GKO,cuda,CG,BiCGStab,none,2,1,1.202314,7.959502,4807
GKO,cuda,CG,BiCGStab,none,2,1,1.202314,7.942928,4807
GKO,cuda,CG,BiCGStab,none,2,1,1.202314,7.970901,4807
GKO,cuda,CG,BiCGStab,none,3,1,4.834198,30.081678,4765
GKO,cuda,CG,BiCGStab,none,3,1,4.834198,30.054276,4765
GKO,cuda,CG,BiCGStab,none,3,1,4.834198,29.984762,4765
GKO,cuda,CG,BiCGStab,none,3,1,4.834198,30.012668,4765
GKO,cuda,CG,BiCGStab,none,3,1,4.834198,30.029306,4765
