backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'uptime': ' 06:13:29 up 9 days, 11:23,  1 user,  load average: 0.10, 0.06, 0.12\n'}}
backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'uptime': ' 06:13:51 up 9 days, 11:23,  1 user,  load average: 0.07, 0.05, 0.12\n'}}
backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'uptime': ' 06:25:52 up 9 days, 11:36,  1 user,  load average: 0.00, 0.00, 0.04\n'}}
GKO,hip,CG,none,0,1,a81a1fa3831bd85871a248c65e307b3a,9.688757,25.727092,9000
GKO,hip,CG,none,0,1,a81a1fa3831bd85871a248c65e307b3a,9.688757,25.475635,9000
GKO,hip,CG,none,0,1,a81a1fa3831bd85871a248c65e307b3a,9.688757,25.48184,9000
GKO,hip,CG,none,0,1,a81a1fa3831bd85871a248c65e307b3a,9.688757,25.873368,9000
GKO,hip,CG,none,0,1,a81a1fa3831bd85871a248c65e307b3a,9.688757,25.840384,9000
GKO,hip,CG,BJ,0,1,28dbb0bfa9a1894a19e021953846b719,8.535001,13.270349,2380
GKO,hip,CG,BJ,0,1,28dbb0bfa9a1894a19e021953846b719,8.535001,13.271018,2380
GKO,hip,CG,BJ,0,1,28dbb0bfa9a1894a19e021953846b719,8.535001,13.355815,2380
GKO,hip,CG,BJ,0,1,28dbb0bfa9a1894a19e021953846b719,8.535001,13.146483,2380
GKO,hip,CG,BJ,0,1,28dbb0bfa9a1894a19e021953846b719,8.535001,13.171536,2380
GKO,hip,BiCGStab,none,0,1,dc9727e789779021d3f98fb6428b616a,11.464826,43.429025,8945
GKO,hip,BiCGStab,none,0,1,dc9727e789779021d3f98fb6428b616a,11.464826,42.752622,8945
GKO,hip,BiCGStab,none,0,1,dc9727e789779021d3f98fb6428b616a,11.464826,43.215965,8945
GKO,hip,BiCGStab,none,0,1,dc9727e789779021d3f98fb6428b616a,11.464826,44.102857,8945
GKO,hip,BiCGStab,none,0,1,dc9727e789779021d3f98fb6428b616a,11.464826,43.162915,8945
GKO,hip,BiCGStab,BJ,0,1,86a691b1f937ca3942ad56226a6f545e,8.826841,15.098976,1657
GKO,hip,BiCGStab,BJ,0,1,86a691b1f937ca3942ad56226a6f545e,8.826841,15.011542,1657
GKO,hip,BiCGStab,BJ,0,1,86a691b1f937ca3942ad56226a6f545e,8.826841,15.440722,1657
GKO,hip,BiCGStab,BJ,0,1,86a691b1f937ca3942ad56226a6f545e,8.826841,15.108425,1657
GKO,hip,BiCGStab,BJ,0,1,86a691b1f937ca3942ad56226a6f545e,8.826841,15.043633,1657
GKO,hip,IR,none,0,1,bf286570fb45f53d7af69f8f82ed83ae,8.38144,11.740094,21
GKO,hip,IR,none,0,1,bf286570fb45f53d7af69f8f82ed83ae,8.38144,11.843683,21
GKO,hip,IR,none,0,1,bf286570fb45f53d7af69f8f82ed83ae,8.38144,11.790794,21
GKO,hip,IR,none,0,1,bf286570fb45f53d7af69f8f82ed83ae,8.38144,11.828159,21
GKO,hip,IR,none,0,1,bf286570fb45f53d7af69f8f82ed83ae,8.38144,11.789636,21
GKO,hip,IR,none,0,1,bf286570fb45f53d7af69f8f82ed83ae,8.38144,11.741846,21
GKO,hip,CG,none,1,1,20654e19d2dcefdf019f61d47caeba73,14.932995,73.193612,8736
GKO,hip,CG,none,1,1,20654e19d2dcefdf019f61d47caeba73,14.932995,73.062805,8736
GKO,hip,CG,none,1,1,20654e19d2dcefdf019f61d47caeba73,14.932995,72.818888,8736
GKO,hip,CG,none,1,1,20654e19d2dcefdf019f61d47caeba73,14.932995,72.673507,8736
GKO,hip,CG,none,1,1,20654e19d2dcefdf019f61d47caeba73,14.932995,72.593632,8736
GKO,hip,CG,BJ,1,1,32a01532bb4b83355f3f05efcdfb07a3,14.923538,59.453014,7088
GKO,hip,CG,BJ,1,1,32a01532bb4b83355f3f05efcdfb07a3,14.923538,59.559899,7088
GKO,hip,CG,BJ,1,1,32a01532bb4b83355f3f05efcdfb07a3,14.923538,59.688784,7088
GKO,hip,CG,BJ,1,1,32a01532bb4b83355f3f05efcdfb07a3,14.923538,59.986241,7088
GKO,hip,CG,BJ,1,1,32a01532bb4b83355f3f05efcdfb07a3,14.923538,59.677642,7088
GKO,hip,BiCGStab,none,1,1,04fb4f38003f2ddade85b5c3b661328e,21.374764,138.031459,9000
GKO,hip,BiCGStab,none,1,1,04fb4f38003f2ddade85b5c3b661328e,21.374764,137.83152,9000
GKO,hip,BiCGStab,none,1,1,04fb4f38003f2ddade85b5c3b661328e,21.374764,137.867827,9000
GKO,hip,BiCGStab,none,1,1,04fb4f38003f2ddade85b5c3b661328e,21.374764,137.812123,9000
GKO,hip,BiCGStab,none,1,1,04fb4f38003f2ddade85b5c3b661328e,21.374764,137.480721,9000
GKO,hip,BiCGStab,BJ,1,1,bcb7aad0c6b3065cb0357e070cc61b87,16.184136,51.878254,2900
GKO,hip,BiCGStab,BJ,1,1,bcb7aad0c6b3065cb0357e070cc61b87,16.184136,64.183022,2900
GKO,hip,BiCGStab,BJ,1,1,bcb7aad0c6b3065cb0357e070cc61b87,16.184136,63.009021,2900
GKO,hip,IR,none,1,1,feba258209bf0df34317ffe3647796a4,9.120045,15.652705,23
GKO,hip,IR,none,1,1,feba258209bf0df34317ffe3647796a4,9.120045,16.295068,23
GKO,hip,IR,none,1,1,feba258209bf0df34317ffe3647796a4,9.120045,15.758795,23
GKO,hip,IR,none,1,1,feba258209bf0df34317ffe3647796a4,9.120045,15.703141,23
GKO,hip,IR,none,1,1,feba258209bf0df34317ffe3647796a4,9.120045,16.207625,23
