backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,IR,BJ,0,1,0.869363,3.151232,8
GKO,omp,IR,BJ,0,1,0.869363,3.178853,8
GKO,omp,IR,BJ,0,1,0.869363,3.17207,8
GKO,omp,IR,BJ,0,1,0.869363,3.162847,8
GKO,omp,IR,BJ,0,1,0.869363,3.161593,8
GKO,omp,IR,BJ,0,1,0.869363,3.213705,8
GKO,omp,IR,BJ,0,1,0.869363,3.154045,8
GKO,omp,IR,BJ,0,1,0.869363,3.140618,8
GKO,omp,IR,BJ,0,1,0.869363,3.167473,8
GKO,omp,IR,BJ,0,1,0.869363,3.171822,8
GKO,omp,IR,BJ,0,1,0.869363,3.157328,8
GKO,omp,IR,BJ,0,1,0.869363,3.181381,8
GKO,omp,IR,BJ,0,1,0.869363,3.245782,8
GKO,omp,IR,BJ,0,1,0.869363,3.174033,8
GKO,omp,IR,BJ,0,1,0.869363,3.163048,8
GKO,omp,IR,BJ,0,1,0.869363,3.153846,8
GKO,omp,IR,BJ,0,1,0.869363,3.151973,8
GKO,omp,IR,BJ,0,1,0.869363,3.149909,8
GKO,omp,IR,BJ,0,1,0.869363,3.153126,8
GKO,omp,IR,BJ,0,2,0.688466,2.237754,8
GKO,omp,IR,BJ,0,2,0.688466,2.230831,8
GKO,omp,IR,BJ,0,2,0.688466,2.223378,8
GKO,omp,IR,BJ,0,2,0.688466,2.238378,8
GKO,omp,IR,BJ,0,2,0.688466,2.226645,8
GKO,omp,IR,BJ,0,2,0.688466,2.64884,8
GKO,omp,IR,BJ,0,2,0.688466,2.587933,8
GKO,omp,IR,BJ,0,2,0.688466,2.601645,8
GKO,omp,IR,BJ,0,2,0.688466,2.668375,8
GKO,omp,IR,BJ,0,2,0.688466,2.624706,8
GKO,omp,IR,BJ,0,2,0.688466,2.243266,8
GKO,omp,IR,BJ,0,2,0.688466,2.62538,8
GKO,omp,IR,BJ,0,2,0.688466,2.22768,8
GKO,omp,IR,BJ,0,2,0.688466,2.652955,8
GKO,omp,IR,BJ,0,2,0.688466,2.242688,8
GKO,omp,IR,BJ,0,2,0.688466,2.621812,8
GKO,omp,IR,BJ,0,2,0.688466,2.66577,8
GKO,omp,IR,BJ,0,2,0.688466,2.223533,8
GKO,omp,IR,BJ,0,2,0.688466,2.617251,8
