backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,BiCGStab,none,0,1,0.908427,3.388675,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.392199,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.375567,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.352668,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.393102,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.419654,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.4107,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.40839,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.421397,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.41583,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.419167,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.418681,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.3758,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.407324,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.407057,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.401708,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.331315,4000
GKO,omp,BiCGStab,none,0,1,0.908427,3.371677,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.82646,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.811502,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.463676,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.788631,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.791544,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.454398,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.787365,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.472133,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.452733,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.8259,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.772713,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.464615,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.449475,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.788565,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.453479,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.478522,4000
GKO,omp,BiCGStab,none,0,2,0.750282,2.481758,4000
