backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,CG,none,0,1,0.60581,1.875994,4000
GKO,omp,CG,none,0,1,0.60581,1.88323,4000
GKO,omp,CG,none,0,1,0.60581,1.87467,4000
GKO,omp,CG,none,0,1,0.60581,1.891499,4000
GKO,omp,CG,none,0,1,0.60581,1.887181,4000
GKO,omp,CG,none,0,1,0.60581,1.869002,4000
GKO,omp,CG,none,0,1,0.60581,1.884987,4000
GKO,omp,CG,none,0,1,0.60581,1.903313,4000
GKO,omp,CG,none,0,1,0.60581,1.88342,4000
GKO,omp,CG,none,0,1,0.60581,1.868892,4000
GKO,omp,CG,none,0,1,0.60581,1.892901,4000
GKO,omp,CG,none,0,1,0.60581,1.90035,4000
GKO,omp,CG,none,0,1,0.60581,1.868305,4000
GKO,omp,CG,none,0,1,0.60581,1.876853,4000
GKO,omp,CG,none,0,1,0.60581,1.885928,4000
GKO,omp,CG,none,0,1,0.60581,1.875296,4000
GKO,omp,CG,none,0,1,0.60581,1.898127,4000
GKO,omp,CG,none,0,1,0.60581,1.86766,4000
GKO,omp,CG,none,0,1,0.60581,1.882303,4000
GKO,omp,CG,none,0,1,0.60581,1.851132,4000
GKO,omp,CG,none,0,1,0.60581,1.882839,4000
GKO,omp,CG,none,0,1,0.60581,1.860622,4000
GKO,omp,CG,none,0,1,0.60581,1.856681,4000
GKO,omp,CG,none,0,1,0.60581,1.885573,4000
GKO,omp,CG,none,0,1,0.60581,1.902724,4000
GKO,omp,CG,none,0,1,0.60581,1.875295,4000
GKO,omp,CG,none,0,1,0.60581,1.875427,4000
GKO,omp,CG,none,0,1,0.60581,1.884626,4000
GKO,omp,CG,none,0,1,0.60581,1.892406,4000
GKO,omp,CG,none,0,1,0.60581,1.885796,4000
GKO,omp,CG,none,0,1,0.60581,1.879641,4000
GKO,omp,CG,none,0,1,0.60581,1.875111,4000
GKO,omp,CG,none,0,2,0.519041,1.620003,4000
GKO,omp,CG,none,0,2,0.519041,1.455827,4000
GKO,omp,CG,none,0,2,0.519041,1.694034,4000
GKO,omp,CG,none,0,2,0.519041,1.696017,4000
GKO,omp,CG,none,0,2,0.519041,1.629169,4000
GKO,omp,CG,none,0,2,0.519041,1.635889,4000
GKO,omp,CG,none,0,2,0.519041,1.640424,4000
GKO,omp,CG,none,0,2,0.519041,1.461781,4000
GKO,omp,CG,none,0,2,0.519041,1.691072,4000
GKO,omp,CG,none,0,2,0.519041,1.656279,4000
GKO,omp,CG,none,0,2,0.519041,1.64005,4000
GKO,omp,CG,none,0,2,0.519041,1.675447,4000
GKO,omp,CG,none,0,2,0.519041,1.451062,4000
GKO,omp,CG,none,0,2,0.519041,1.463734,4000
GKO,omp,CG,none,0,2,0.519041,1.468499,4000
GKO,omp,CG,none,0,2,0.519041,1.454371,4000
GKO,omp,CG,none,0,2,0.519041,1.458398,4000
GKO,omp,CG,none,0,2,0.519041,1.461399,4000
GKO,omp,CG,none,0,2,0.519041,1.682077,4000
GKO,omp,CG,none,0,2,0.519041,1.686768,4000
GKO,omp,CG,none,0,2,0.519041,1.620373,4000
GKO,omp,CG,none,0,2,0.519041,1.693001,4000
GKO,omp,CG,none,0,2,0.519041,1.692542,4000
GKO,omp,CG,none,0,2,0.519041,1.686194,4000
GKO,omp,CG,none,0,2,0.519041,1.653458,4000
GKO,omp,CG,none,0,2,0.519041,1.627522,4000
GKO,omp,CG,none,0,2,0.519041,1.437925,4000
GKO,omp,CG,none,0,2,0.519041,1.642397,4000
GKO,omp,CG,none,0,2,0.519041,1.671472,4000
GKO,omp,CG,none,0,2,0.519041,1.584503,4000
