backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,IR,none,0,1,0.866636,3.156986,8
GKO,omp,IR,none,0,1,0.866636,3.185266,8
GKO,omp,IR,none,0,1,0.866636,3.14589,8
GKO,omp,IR,none,0,1,0.866636,3.148836,8
GKO,omp,IR,none,0,1,0.866636,3.150048,8
GKO,omp,IR,none,0,1,0.866636,3.158712,8
GKO,omp,IR,none,0,1,0.866636,3.294009,8
GKO,omp,IR,none,0,1,0.866636,3.39216,8
GKO,omp,IR,none,0,1,0.866636,3.152461,8
GKO,omp,IR,none,0,1,0.866636,3.148688,8
GKO,omp,IR,none,0,1,0.866636,3.159018,8
GKO,omp,IR,none,0,1,0.866636,3.147339,8
GKO,omp,IR,none,0,1,0.866636,3.162854,8
GKO,omp,IR,none,0,1,0.866636,3.158967,8
GKO,omp,IR,none,0,1,0.866636,3.181236,8
GKO,omp,IR,none,0,1,0.866636,3.155853,8
GKO,omp,IR,none,0,1,0.866636,3.146514,8
GKO,omp,IR,none,0,1,0.866636,3.149984,8
GKO,omp,IR,none,0,1,0.866636,3.153977,8
GKO,omp,IR,none,0,2,0.697369,2.222854,8
GKO,omp,IR,none,0,2,0.697369,2.748764,8
GKO,omp,IR,none,0,2,0.697369,2.738385,8
GKO,omp,IR,none,0,2,0.697369,2.764217,8
GKO,omp,IR,none,0,2,0.697369,2.738762,8
GKO,omp,IR,none,0,2,0.697369,2.227778,8
GKO,omp,IR,none,0,2,0.697369,2.758952,8
GKO,omp,IR,none,0,2,0.697369,2.21191,8
GKO,omp,IR,none,0,2,0.697369,2.708561,8
GKO,omp,IR,none,0,2,0.697369,2.238616,8
GKO,omp,IR,none,0,2,0.697369,2.756737,8
GKO,omp,IR,none,0,2,0.697369,2.744811,8
GKO,omp,IR,none,0,2,0.697369,2.703221,8
GKO,omp,IR,none,0,2,0.697369,2.222425,8
GKO,omp,IR,none,0,2,0.697369,2.70388,8
GKO,omp,IR,none,0,2,0.697369,2.758595,8
GKO,omp,IR,none,0,2,0.697369,2.722839,8
GKO,omp,IR,none,0,2,0.697369,2.722199,8
GKO,omp,IR,none,0,2,0.697369,2.23346,8
GKO,omp,IR,none,0,2,0.697369,2.734401,8
GKO,omp,IR,none,0,2,0.697369,2.218542,8
GKO,omp,IR,none,0,2,0.697369,2.697859,8
GKO,omp,IR,none,0,2,0.697369,2.803617,8
GKO,omp,IR,none,0,2,0.697369,2.729429,8
GKO,omp,IR,none,0,4,0.587717,2.119731,8
GKO,omp,IR,none,0,4,0.587717,2.10681,8
GKO,omp,IR,none,0,4,0.587717,2.156953,8
GKO,omp,IR,none,0,4,0.587717,2.160479,8
