backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,BiCGStab,none,0,1,0.917839,3.384371,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.399348,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.365121,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.398221,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.421471,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.397223,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.413652,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.411871,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.377961,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.388839,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.340334,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.370383,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.411213,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.349603,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.387047,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.368643,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.384728,4000
GKO,omp,BiCGStab,none,0,1,0.917839,3.337904,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.464979,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.837514,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.841869,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.459574,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.825171,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.847319,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.801623,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.764269,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.452279,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.803619,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.792741,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.787621,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.479784,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.471333,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.811162,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.790128,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.782939,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.715717,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.796137,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.827427,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.764604,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.466228,4000
GKO,omp,BiCGStab,none,0,2,0.740321,2.800699,4000
GKO,omp,BiCGStab,none,0,4,0.640663,2.259493,4000
