backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,BiCGStab,DIC,0,1,0.276029,0.377074,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.372798,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.37627,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.372049,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.384611,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.373638,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.363921,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.358684,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.354321,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.372642,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.378269,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.365065,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.358665,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.369595,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.382194,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.37641,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.3837,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.373125,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.381609,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.374598,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.37529,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.365296,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.356265,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.357648,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.36095,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.354964,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.356346,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.36084,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.359263,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.36047,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.368102,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.383371,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.376356,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.367576,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.377385,224
OF,reference,BiCGStab,DIC,0,1,0.276029,0.371641,224
