backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,BiCGStab,none,0,1,0.404521,1.086265,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.074278,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.077335,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.083126,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.078312,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.060459,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.065478,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.06934,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.073944,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.085052,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.079379,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.061036,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.070048,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.07361,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.089293,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.089632,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.093269,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.073133,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.075579,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.084138,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.078339,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.074171,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.073191,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.068842,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.069136,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.079077,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.076212,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.06611,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.071779,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.072289,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.082785,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.0821,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.077903,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.072854,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.085773,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.07401,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.063271,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.069796,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.074061,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.077938,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.08044,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.079255,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.06637,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.074231,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.078088,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.07772,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.07966,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.091288,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.086735,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.090663,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.085023,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.06515,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.073053,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.09205,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.078819,4000
OF,reference,BiCGStab,none,0,1,0.404521,1.083621,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.426012,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.48625,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.401157,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.49273,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.504065,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.383978,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.453038,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.423619,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.493006,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.487897,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.429543,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.44829,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.417192,4000
OF,reference,BiCGStab,none,1,1,1.222958,4.410137,4000
OF,reference,BiCGStab,none,2,1,5.483643,22.11189,4000
OF,reference,BiCGStab,none,2,1,5.483643,22.143675,4000
OF,reference,BiCGStab,none,2,1,5.483643,22.05983,4000
OF,reference,BiCGStab,none,2,1,5.483643,22.877756,4000
OF,reference,BiCGStab,none,2,1,5.483643,22.197481,4000
OF,reference,BiCGStab,none,3,1,26.181436,113.732565,4000
OF,reference,BiCGStab,none,3,1,26.181436,112.557478,4000
OF,reference,BiCGStab,none,3,1,26.181436,112.765704,4000
OF,reference,BiCGStab,none,3,1,26.181436,113.401561,4000
OF,reference,BiCGStab,none,3,1,26.181436,113.849479,4000
