backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,CG,none,0,1,0.328657,0.658171,4000
OF,reference,CG,none,0,1,0.328657,0.668123,4000
OF,reference,CG,none,0,1,0.328657,0.6596,4000
OF,reference,CG,none,0,1,0.328657,0.656818,4000
OF,reference,CG,none,0,1,0.328657,0.657411,4000
OF,reference,CG,none,0,1,0.328657,0.656492,4000
OF,reference,CG,none,0,1,0.328657,0.657737,4000
OF,reference,CG,none,0,1,0.328657,0.655116,4000
OF,reference,CG,none,0,1,0.328657,0.654664,4000
OF,reference,CG,none,0,1,0.328657,0.654737,4000
OF,reference,CG,none,0,1,0.328657,0.657262,4000
OF,reference,CG,none,0,1,0.328657,0.656292,4000
OF,reference,CG,none,0,1,0.328657,0.651029,4000
OF,reference,CG,none,0,1,0.328657,0.65331,4000
OF,reference,CG,none,0,1,0.328657,0.654535,4000
OF,reference,CG,none,0,1,0.328657,0.653812,4000
OF,reference,CG,none,0,1,0.328657,0.654801,4000
OF,reference,CG,none,0,1,0.328657,0.653176,4000
OF,reference,CG,none,0,1,0.328657,0.651989,4000
OF,reference,CG,none,0,1,0.328657,0.654042,4000
OF,reference,CG,none,0,1,0.328657,0.649068,4000
OF,reference,CG,none,0,1,0.328657,0.657132,4000
OF,reference,CG,none,0,1,0.328657,0.655419,4000
OF,reference,CG,none,0,1,0.328657,0.653228,4000
OF,reference,CG,none,0,1,0.328657,0.653599,4000
OF,reference,CG,none,0,1,0.328657,0.653331,4000
OF,reference,CG,none,0,1,0.328657,0.655413,4000
OF,reference,CG,none,0,1,0.328657,0.652743,4000
OF,reference,CG,none,0,1,0.328657,0.651256,4000
OF,reference,CG,none,0,1,0.328657,0.654038,4000
OF,reference,CG,none,0,1,0.328657,0.65334,4000
OF,reference,CG,none,0,1,0.328657,0.664456,4000
OF,reference,CG,none,0,1,0.328657,0.655311,4000
OF,reference,CG,none,0,1,0.328657,0.653847,4000
OF,reference,CG,none,0,1,0.328657,0.656725,4000
OF,reference,CG,none,0,1,0.328657,0.654252,4000
OF,reference,CG,none,0,1,0.328657,0.656651,4000
OF,reference,CG,none,0,1,0.328657,0.658349,4000
OF,reference,CG,none,0,1,0.328657,0.691174,4000
OF,reference,CG,none,0,1,0.328657,0.655912,4000
OF,reference,CG,none,0,1,0.328657,0.654887,4000
OF,reference,CG,none,0,1,0.328657,0.65306,4000
OF,reference,CG,none,0,1,0.328657,0.654233,4000
OF,reference,CG,none,0,1,0.328657,0.654487,4000
OF,reference,CG,none,0,1,0.328657,0.656017,4000
OF,reference,CG,none,0,1,0.328657,0.653288,4000
OF,reference,CG,none,0,1,0.328657,0.657884,4000
OF,reference,CG,none,0,1,0.328657,0.655368,4000
OF,reference,CG,none,0,1,0.328657,0.65697,4000
OF,reference,CG,none,0,1,0.328657,0.656436,4000
OF,reference,CG,none,0,1,0.328657,0.654389,4000
OF,reference,CG,none,0,1,0.328657,0.655969,4000
OF,reference,CG,none,0,1,0.328657,0.659008,4000
OF,reference,CG,none,0,1,0.328657,0.658535,4000
OF,reference,CG,none,0,1,0.328657,0.65482,4000
OF,reference,CG,none,0,1,0.328657,0.652632,4000
OF,reference,CG,none,0,1,0.328657,0.655402,4000
OF,reference,CG,none,0,1,0.328657,0.659212,4000
OF,reference,CG,none,0,1,0.328657,0.655034,4000
OF,reference,CG,none,0,1,0.328657,0.653207,4000
OF,reference,CG,none,0,1,0.328657,0.654836,4000
OF,reference,CG,none,0,1,0.328657,0.652799,4000
OF,reference,CG,none,0,1,0.328657,0.656595,4000
OF,reference,CG,none,0,1,0.328657,0.656196,4000
OF,reference,CG,none,0,1,0.328657,0.655044,4000
OF,reference,CG,none,0,1,0.328657,0.653316,4000
OF,reference,CG,none,0,1,0.328657,0.657475,4000
OF,reference,CG,none,0,1,0.328657,0.65543,4000
OF,reference,CG,none,0,1,0.328657,0.652524,4000
OF,reference,CG,none,0,1,0.328657,0.667193,4000
OF,reference,CG,none,0,1,0.328657,0.658581,4000
OF,reference,CG,none,0,1,0.328657,0.652297,4000
OF,reference,CG,none,0,1,0.328657,0.655297,4000
OF,reference,CG,none,0,1,0.328657,0.65289,4000
OF,reference,CG,none,0,1,0.328657,0.653265,4000
OF,reference,CG,none,0,1,0.328657,0.656238,4000
OF,reference,CG,none,0,1,0.328657,0.653155,4000
