backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
OF,reference,CG,DIC,0,1,0.266518,0.347406,367
OF,reference,CG,DIC,0,1,0.266518,0.351333,367
OF,reference,CG,DIC,0,1,0.266518,0.347161,367
OF,reference,CG,DIC,0,1,0.266518,0.346755,367
OF,reference,CG,DIC,0,1,0.266518,0.347163,367
OF,reference,CG,DIC,0,1,0.266518,0.343121,367
OF,reference,CG,DIC,0,1,0.266518,0.348607,367
OF,reference,CG,DIC,0,1,0.266518,0.347394,367
OF,reference,CG,DIC,0,1,0.266518,0.348451,367
OF,reference,CG,DIC,0,1,0.266518,0.351448,367
OF,reference,CG,DIC,0,1,0.266518,0.344972,367
OF,reference,CG,DIC,0,1,0.266518,0.348916,367
OF,reference,CG,DIC,0,1,0.266518,0.346877,367
OF,reference,CG,DIC,0,1,0.266518,0.348483,367
OF,reference,CG,DIC,0,1,0.266518,0.349228,367
OF,reference,CG,DIC,0,1,0.266518,0.347476,367
OF,reference,CG,DIC,0,1,0.266518,0.349653,367
OF,reference,CG,DIC,0,1,0.266518,0.346372,367
OF,reference,CG,DIC,0,1,0.266518,0.346433,367
OF,reference,CG,DIC,0,1,0.266518,0.349366,367
OF,reference,CG,DIC,0,1,0.266518,0.344432,367
OF,reference,CG,DIC,0,1,0.266518,0.349162,367
OF,reference,CG,DIC,0,1,0.266518,0.350518,367
OF,reference,CG,DIC,0,1,0.266518,0.352576,367
OF,reference,CG,DIC,0,1,0.266518,0.347764,367
OF,reference,CG,DIC,0,1,0.266518,0.345378,367
OF,reference,CG,DIC,0,1,0.266518,0.348312,367
OF,reference,CG,DIC,0,1,0.266518,0.346579,367
OF,reference,CG,DIC,0,1,0.266518,0.344292,367
OF,reference,CG,DIC,0,1,0.266518,0.350036,367
OF,reference,CG,DIC,0,1,0.266518,0.345366,367
OF,reference,CG,DIC,0,1,0.266518,0.346875,367
OF,reference,CG,DIC,0,1,0.266518,0.349516,367
OF,reference,CG,DIC,0,1,0.266518,0.346326,367
OF,reference,CG,DIC,0,1,0.266518,0.351393,367
OF,reference,CG,DIC,0,1,0.266518,0.351018,367
OF,reference,CG,DIC,0,1,0.266518,0.34533,367
OF,reference,CG,DIC,0,1,0.266518,0.350272,367
OF,reference,CG,DIC,0,1,0.266518,0.346837,367
OF,reference,CG,DIC,0,1,0.266518,0.349364,367
OF,reference,CG,DIC,0,1,0.266518,0.346502,367
OF,reference,CG,DIC,0,1,0.266518,0.348147,367
OF,reference,CG,DIC,0,1,0.266518,0.348541,367
OF,reference,CG,DIC,0,1,0.266518,0.346678,367
OF,reference,CG,DIC,0,1,0.266518,0.347188,367
OF,reference,CG,DIC,0,1,0.266518,0.346537,367
OF,reference,CG,DIC,0,1,0.266518,0.350036,367
OF,reference,CG,DIC,0,1,0.266518,0.345863,367
OF,reference,CG,DIC,0,1,0.266518,0.348355,367
OF,reference,CG,DIC,0,1,0.266518,0.345514,367
OF,reference,CG,DIC,0,1,0.266518,0.350787,367
OF,reference,CG,DIC,0,1,0.266518,0.347232,367
OF,reference,CG,DIC,0,1,0.266518,0.345687,367
OF,reference,CG,DIC,0,1,0.266518,0.351602,367
OF,reference,CG,DIC,0,1,0.266518,0.346915,367
OF,reference,CG,DIC,0,1,0.266518,0.355824,367
OF,reference,CG,DIC,0,1,0.266518,0.353351,367
OF,reference,CG,DIC,0,1,0.266518,0.345783,367
OF,reference,CG,DIC,0,1,0.266518,0.348544,367
OF,reference,CG,DIC,0,1,0.266518,0.35174,367
OF,reference,CG,DIC,0,1,0.266518,0.349199,367
OF,reference,CG,DIC,0,1,0.266518,0.351949,367
OF,reference,CG,DIC,0,1,0.266518,0.34778,367
OF,reference,CG,DIC,0,1,0.266518,0.347457,367
OF,reference,CG,DIC,0,1,0.266518,0.349093,367
OF,reference,CG,DIC,0,1,0.266518,0.348226,367
OF,reference,CG,DIC,0,1,0.266518,0.348373,367
OF,reference,CG,DIC,0,1,0.266518,0.346894,367
OF,reference,CG,DIC,0,1,0.266518,0.348636,367
OF,reference,CG,DIC,0,1,0.266518,0.348247,367
OF,reference,CG,DIC,0,1,0.266518,0.349214,367
OF,reference,CG,DIC,0,1,0.266518,0.346983,367
OF,reference,CG,DIC,0,1,0.266518,0.346685,367
OF,reference,CG,DIC,0,1,0.266518,0.351368,367
OF,reference,CG,DIC,0,1,0.266518,0.34566,367
OF,reference,CG,DIC,0,1,0.266518,0.353583,367
OF,reference,CG,DIC,0,1,0.266518,0.351391,367
OF,reference,CG,DIC,0,1,0.266518,0.34901,367
OF,reference,CG,DIC,0,1,0.266518,0.350241,367
OF,reference,CG,DIC,0,1,0.266518,0.348093,367
OF,reference,CG,DIC,0,1,0.266518,0.351612,367
OF,reference,CG,DIC,0,1,0.266518,0.350029,367
OF,reference,CG,DIC,0,1,0.266518,0.352561,367
OF,reference,CG,DIC,0,1,0.266518,0.347325,367
OF,reference,CG,DIC,0,1,0.266518,0.351068,367
OF,reference,CG,DIC,0,1,0.266518,0.346728,367
OF,reference,CG,DIC,0,1,0.266518,0.34854,367
OF,reference,CG,DIC,0,1,0.266518,0.350191,367
OF,reference,CG,DIC,0,1,0.266518,0.346628,367
OF,reference,CG,DIC,0,1,0.266518,0.348014,367
OF,reference,CG,DIC,0,1,0.266518,0.348077,367
OF,reference,CG,DIC,0,1,0.266518,0.344519,367
OF,reference,CG,DIC,0,1,0.266518,0.348045,367
OF,reference,CG,DIC,0,1,0.266518,0.345495,367
OF,reference,CG,DIC,0,1,0.266518,0.349963,367
OF,reference,CG,DIC,0,1,0.266518,0.347098,367
OF,reference,CG,DIC,0,1,0.266518,0.345982,367
OF,reference,CG,DIC,0,1,0.266518,0.345076,367
OF,reference,CG,DIC,0,1,0.266518,0.35238,367
OF,reference,CG,DIC,0,1,0.266518,0.348444,367
OF,reference,CG,DIC,0,1,0.266518,0.346037,367
OF,reference,CG,DIC,0,1,0.266518,0.349493,367
OF,reference,CG,DIC,0,1,0.266518,0.34478,367
OF,reference,CG,DIC,0,1,0.266518,0.346006,367
OF,reference,CG,DIC,0,1,0.266518,0.348208,367
OF,reference,CG,DIC,0,1,0.266518,0.350445,367
OF,reference,CG,DIC,0,1,0.266518,0.346289,367
OF,reference,CG,DIC,0,1,0.266518,0.348893,367
OF,reference,CG,DIC,0,1,0.266518,0.346983,367
OF,reference,CG,DIC,0,1,0.266518,0.346088,367
OF,reference,CG,DIC,0,1,0.266518,0.348205,367
OF,reference,CG,DIC,0,1,0.266518,0.350014,367
OF,reference,CG,DIC,0,1,0.266518,0.346904,367
OF,reference,CG,DIC,0,1,0.266518,0.347563,367
OF,reference,CG,DIC,0,1,0.266518,0.349661,367
OF,reference,CG,DIC,0,1,0.266518,0.348052,367
OF,reference,CG,DIC,0,1,0.266518,0.347996,367
OF,reference,CG,DIC,0,1,0.266518,0.349921,367
OF,reference,CG,DIC,0,1,0.266518,0.347226,367
OF,reference,CG,DIC,0,1,0.266518,0.349287,367
OF,reference,CG,DIC,0,1,0.266518,0.348207,367
OF,reference,CG,DIC,0,1,0.266518,0.347068,367
OF,reference,CG,DIC,0,1,0.266518,0.346544,367
OF,reference,CG,DIC,0,1,0.266518,0.348434,367
OF,reference,CG,DIC,0,1,0.266518,0.34723,367
OF,reference,CG,DIC,0,1,0.266518,0.35022,367
OF,reference,CG,DIC,0,1,0.266518,0.348496,367
OF,reference,CG,DIC,0,1,0.266518,0.347817,367
OF,reference,CG,DIC,0,1,0.266518,0.349992,367
OF,reference,CG,DIC,0,1,0.266518,0.347635,367
OF,reference,CG,DIC,0,1,0.266518,0.350941,367
OF,reference,CG,DIC,0,1,0.266518,0.345571,367
OF,reference,CG,DIC,0,1,0.266518,0.350601,367
OF,reference,CG,DIC,0,1,0.266518,0.349266,367
OF,reference,CG,DIC,0,1,0.266518,0.34614,367
OF,reference,CG,DIC,0,1,0.266518,0.348506,367
OF,reference,CG,DIC,0,1,0.266518,0.348371,367
OF,reference,CG,DIC,0,1,0.266518,0.346536,367
OF,reference,CG,DIC,0,1,0.266518,0.348013,367
OF,reference,CG,DIC,0,1,0.266518,0.346204,367
OF,reference,CG,DIC,0,1,0.266518,0.346427,367
OF,reference,CG,DIC,0,1,0.266518,0.35085,367
OF,reference,CG,DIC,0,1,0.266518,0.344891,367
OF,reference,CG,DIC,0,1,0.266518,0.346413,367
OF,reference,CG,DIC,0,1,0.266518,0.349794,367
OF,reference,CG,DIC,0,1,0.266518,0.347101,367
OF,reference,CG,DIC,0,1,0.266518,0.349433,367
OF,reference,CG,DIC,0,1,0.266518,0.345762,367
OF,reference,CG,DIC,0,1,0.266518,0.347103,367
OF,reference,CG,DIC,0,1,0.266518,0.350298,367
OF,reference,CG,DIC,0,1,0.266518,0.348189,367
OF,reference,CG,DIC,0,1,0.266518,0.349418,367
OF,reference,CG,DIC,0,1,0.266518,0.347625,367
OF,reference,CG,DIC,0,1,0.266518,0.34922,367
OF,reference,CG,DIC,0,1,0.266518,0.350358,367
OF,reference,CG,DIC,0,1,0.266518,0.348322,367
OF,reference,CG,DIC,0,1,0.266518,0.346626,367
OF,reference,CG,DIC,0,1,0.266518,0.345123,367
OF,reference,CG,DIC,0,1,0.266518,0.350491,367
OF,reference,CG,DIC,0,1,0.266518,0.344897,367
OF,reference,CG,DIC,0,1,0.266518,0.349739,367
OF,reference,CG,DIC,0,1,0.266518,0.347011,367
OF,reference,CG,DIC,0,1,0.266518,0.345837,367
OF,reference,CG,DIC,0,1,0.266518,0.347984,367
OF,reference,CG,DIC,0,1,0.266518,0.345524,367
OF,reference,CG,DIC,0,1,0.266518,0.345811,367
OF,reference,CG,DIC,0,1,0.266518,0.345495,367
OF,reference,CG,DIC,0,1,0.266518,0.345948,367
OF,reference,CG,DIC,0,1,0.266518,0.35013,367
