backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
OF,reference,BiCGStab,none,0,1,0.401402,1.062987,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.083467,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.077427,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.063705,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.070312,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.069899,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.084856,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.073897,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.076164,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.079766,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.082922,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.078104,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.073665,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.084642,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.068553,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.072701,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.074767,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.081731,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.083984,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.07513,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.082312,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.072881,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.06002,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.057194,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.064223,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.076813,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.078077,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.076701,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.088531,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.079677,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.079794,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.075922,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.082565,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.071855,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.060912,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.083215,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.07084,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.077852,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.069176,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.084404,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.076729,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.078635,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.090467,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.070309,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.081451,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.069432,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.074773,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.083867,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.081079,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.074957,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.062513,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.076712,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.072243,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.071784,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.06079,4000
OF,reference,BiCGStab,none,0,1,0.401402,1.059074,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.41818,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.464324,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.410334,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.468508,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.439689,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.470722,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.401406,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.470653,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.408215,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.48636,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.422316,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.425878,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.409723,4000
OF,reference,BiCGStab,none,1,1,1.241511,4.443238,4000
OF,reference,BiCGStab,none,2,1,5.326691,22.538971,4000
OF,reference,BiCGStab,none,2,1,5.326691,22.019093,4000
OF,reference,BiCGStab,none,2,1,5.326691,22.560393,4000
OF,reference,BiCGStab,none,2,1,5.326691,21.977422,4000
OF,reference,BiCGStab,none,2,1,5.326691,22.558409,4000
OF,reference,BiCGStab,none,3,1,26.164004,112.83752,4000
OF,reference,BiCGStab,none,3,1,26.164004,110.455011,4000
OF,reference,BiCGStab,none,3,1,26.164004,114.386718,4000
OF,reference,BiCGStab,none,3,1,26.164004,113.551969,4000
OF,reference,BiCGStab,none,3,1,26.164004,112.017237,4000
