backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.655683,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.67612,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.663565,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.675794,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.666122,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.665083,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.677138,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.666961,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.667379,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.670538,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.691265,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.673237,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.666125,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.667215,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.667651,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.673435,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.665465,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.679516,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.67065,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.663903,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.666734,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.676148,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.742514,2.671368,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.705383,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.731434,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.725204,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.780001,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.804209,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.814132,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.799108,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.839495,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.802607,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.759689,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.910595,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.745599,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.85886,987
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.56269,1.730004,987
