backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.706398,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.69294,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.680116,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.689947,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.691149,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.697167,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.694911,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.68401,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.677496,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.668706,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.689248,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.673172,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.682874,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.685912,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.68356,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.686206,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.675504,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.687681,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.679048,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.687513,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.685607,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.691951,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,1,0.778127,2.684622,997
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.866655,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.732199,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.736628,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.922317,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.758417,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.822264,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.818814,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.699443,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.826769,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.822421,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.837782,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.718554,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.811644,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.756583,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.843904,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.732273,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.822051,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.830508,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.767469,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.783033,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.73161,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.887065,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.855095,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.821275,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.737247,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.850525,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.839356,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.860849,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.858567,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.831424,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.815528,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.826452,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.741605,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,2,0.567111,1.810352,994
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.300353,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.364693,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.281499,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.281791,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.327912,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.298343,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.312729,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.27733,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.231001,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.2855,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.270195,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.302221,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.3036,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.276027,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.301723,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.29689,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.25673,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.31255,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.301003,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.28745,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.276576,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.279357,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.310356,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.304457,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.240092,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.244415,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.299446,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.356679,1002
GKO,omp,BiCGStab,BiCGStab,BJ,0,4,0.472019,1.289064,1002
