backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.070897,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.040159,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.074834,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.064422,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.06636,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.057329,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.044689,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.037576,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.040114,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.05129,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.083035,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.072138,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.056769,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.014344,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.011819,4.040014,4760
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,2.874865,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.33116,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.350912,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.315567,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,2.880071,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.354624,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.323839,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.365794,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,2.88727,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.23891,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.40038,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.369068,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.328542,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,2.886514,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.3251,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,2.875161,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.359999,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.375984,4683
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.743055,3.345244,4683
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.643488,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.715059,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.738344,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.758544,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.679137,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.726355,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.726755,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.791455,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.820667,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.708084,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.781089,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.687975,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.763799,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.788828,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.726651,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.70984,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.743311,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.555249,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.814616,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.711632,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.706001,4626
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.696249,2.878406,4626
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.538022,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.592349,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.563804,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.697141,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.616121,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.559391,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.662845,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.610506,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.631051,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.605793,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.579619,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.755432,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.643977,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.581765,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.601318,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.647081,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.563941,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.604052,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.54558,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.58375,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.583815,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.652735,4802
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.652534,2.68873,4802
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.752209,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.779464,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.868338,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.740863,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.878906,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.7705,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.680552,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.91612,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.790545,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.65461,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.836394,4686
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.649023,2.889003,4686
