backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.167395,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.035729,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.092085,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.11983,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.091493,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.030306,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.109512,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.035416,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.024385,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.07278,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.114096,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.030062,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.033178,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.072633,4760
GKO,omp,BiCGStab,BiCGStab,none,0,1,1.071998,4.092151,4760
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.342588,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.313278,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.35752,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.32334,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,2.872786,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.322284,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.283543,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,2.856437,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,2.84798,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,2.868317,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,2.859692,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.282262,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.31635,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.512764,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.467644,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,2.867481,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,3.389827,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,2.875519,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,2.874492,4659
GKO,omp,BiCGStab,BiCGStab,none,0,2,0.809947,2.856943,4659
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.699033,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.751719,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.741826,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.742391,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.742074,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.729559,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.694863,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.886964,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.802503,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.704375,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.774234,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.683718,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.724579,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.766052,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.820477,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.770269,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.802548,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.827882,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.743723,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.741233,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.742612,4648
GKO,omp,BiCGStab,BiCGStab,none,0,4,0.700605,2.842519,4648
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.561721,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.588747,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.617852,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.620621,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.618745,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.633087,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.5724,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.602202,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.641011,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.707214,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.61587,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.64941,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.620289,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.560796,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.655563,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.60862,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.571651,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.616996,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.615681,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.613109,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.631125,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.524916,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.478702,4790
GKO,omp,BiCGStab,BiCGStab,none,0,8,0.658877,2.630444,4790
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.786897,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.818714,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.771856,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.871779,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.885842,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.660993,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.956728,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.744634,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.916057,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.883518,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.912683,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.991671,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.7785,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.818359,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.931106,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.874567,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.848825,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,2.701605,4787
GKO,omp,BiCGStab,BiCGStab,none,0,16,0.745748,3.023904,4787
