backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.107477,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.120243,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.118905,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.123361,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.117054,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.117834,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.114218,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.114598,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.135031,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.112364,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.109831,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.115067,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.120028,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.109068,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.127034,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.119595,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.117453,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.116802,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.113589,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.119068,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.109558,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.119007,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.116376,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.11014,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.113483,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.142391,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.115713,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.112326,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.566266,2.110958,1425
GKO,omp,CG,BiCGStab,BJ,0,2,0.458489,1.396884,1425
GKO,omp,CG,BiCGStab,BJ,0,2,0.458489,1.423721,1425
